"recordedBy","n"
"I. Sánchez Vega",50
"J. Chamaya G.",44
"I. Sánchez Vega M.O. Dillon",34
"I. Sánchez Vega M.O. Dillon M. Zapata",15
"Isidoro Manuel Sánchez Vega M. O. Dillon",13
"James L. Luteyn I. Sánchez Vega M. Zapata Cruz",9
"José G. Sánchez Vega",8
"I. Sánchez V.",7
"I. Sánchez Vega M. O. Dillon M. Zapata",7
"M.O. Dillon I. Sánchez Vega M. Sánchez M.",7
"D.N. Smith Kye Goodwin",6
"I. Sánchez Vega M. O. Dillon",6
"I. Sánchez Vega M. Zapata Cruz G. Iberico Vela R. Diéguez",6
"Isidoro Manuel Sánchez Vega M. O. Dillon M. Zapata",6
"J. Sánchez Vega W. Ruiz Vigo J. Cabanillas A. López",6
"Isidoro Manuel Sánchez Vega",5
"J. Sánchez Vega",5
"Ken Young",5
"A. Goicochea R. A. D. Gutiérrez R.",4
"I. Sánchez Vega Mardonio Llanos",4
"I. Sánchez Vega.",4
"Isidoro Manuel Sánchez Vega Alfonso Miranda Leiva",4
"Isidoro Manuel Sánchez Vega Michael O. Dillon",4
"J. Cabanillas S.",4
"James L. Luteyn Isidoro Manuel Sánchez Vega M. Zapata Cruz",4
"A. Goicochea R. D. Gutiérrez R.",3
"David N. Smith Kye Goodwin",3
"David N. Smith L. Sánchez H. Vidaurre",3
"I. Sanchez Vega",3
"I. Sánchez Vega A. Sagástegui A. J. Guevara Barreto",3
"I. Sánchez Vega A. Sagástegui Alva. J. Guevara",3
"I. Sánchez Vega J. Torres",3
"I. Sánchez Vega M. Sánchez M.",3
"I. Sánchez Vega M. Sánchez Montoya",3
"I. Sánchez Vega M. Zapata G. Iberico Vela R. Diéguez",3
"I. Sánchez Vega W. Ruiz Vigo",3
"Isidoro Manuel Sánchez Vega A. Sagástegui J. Guevara B.",3
"Isidoro Manuel Sánchez Vega M. Zapata Gustavo Iberico Vela R. Diéguez",3
"Luis Dávila E. Gustavo Iberico Vela A. Chávez Santa Cruz.",3
"M.O. Dillon I. Sánchez V.",3
"M.O. Dillon I. Sánchez Vega M. Sánchez Montoya",3
"Nicolás Dostert",3
"S.Leiva G. P. Chuna J. Cadle.",3
"Carmen Juárez V. A. Sánchez Rojas",2
"Carol Aliaga R. Oscar Zambrano C.",2
"Carol Aliaga R. Oscar Zambrano C. Jorge Romero",2
"Elvira Cotton Mats Gustafsson",2
"G. Iberico Vela Luis Dávila E. A. Chávez Sta. Cruz.",2
"H. Castillo E. Cochachin S. Castillo",2
"I. Sánchez V. S. Becerra T.",2
"I. Sánchez Vega A. Briones",2
"I. Sánchez Vega A. Miranda",2
"I. Sánchez Vega A. Miranda Leiva",2
"I. Sánchez Vega A. Sagástegui A. J. Guevara",2
"I. Sánchez Vega A. Sagástegui J. Guevara",2
"I. Sánchez Vega M. Zapata G. Iberico R. Diéguez",2
"I. Sánchez Vega M.O. Dillon M. Zapata Cruz",2
"I. Sánchez Vega S. Leiva G. W. Flores",2
"I. Sánchez Vega W. Díaz Miranda",2
"I. Sánchez Vega W. Flores S. Leiva G.",2
"I. Sánchez Vega W. Ruiz Vigo.",2
"Isidoro Manuel Sánchez Vega Abundio Sagástegui Alva José Guevara Barreto",2
"Isidoro Manuel Sánchez Vega Gustavo Iberico Vela Manuel Sánchez Montoya",2
"Isidoro Manuel Sánchez Vega José G. Sánchez Vega A. Briones",2
"Isidoro Manuel Sánchez Vega M. O. Dillon Gustavo Iberico Vela",2
"Isidoro Manuel Sánchez Vega M. O. Dillon Manuel Sánchez Montoya",2
"Isidoro Manuel Sánchez Vega M. Zapata",2
"Isidoro Manuel Sánchez Vega W. Flores Segundo Leiva González",2
"Isidoro Manuel Sánchez Vega Wilson Díaz Miranda",2
"J. Cabanillas Soriano",2
"J. G. Sánchez V.",2
"J. Lu Guerra",2
"J. Sánchez Vega Luisa Zarpán Arias",2
"J. Sánchez Vega W. Ruiz Vigo A. López A. Aldave",2
"J. Sánchez Vega W. Ruiz Vigo J. Cabanillas A. Aldave",2
"José G. Sánchez Vega W. Ruíz Vigo J. Cabanillas S. A. López",2
"José G. Sánchez Vega.",2
"José García P.",2
"José Guerra Lu",2
"José M. Cabanillas Soriano",2
"Ken Young Blanca León",2
"L. Portal V. B. Pérez P.",2
"M. Cabanillas Soriano Peter Vargas Ch.",2
"M.O. Dillon I. Sánchez V. M. Sánchez M.",2
"Michael O. Dillon Isidoro Manuel Sánchez Vega",2
"S. Leiva P. Chuna J. Cadle",2
"T. Vásquez S. C. Juárez V. A. Cruzado V.",2
"T. Vásquez S. P. Vargas Ch.",2
"U. Molau B. Eriksen",2
"A. Cruzado S. Kalen Quiroz V.",1
"A. D. Gutiérrez Ruíz A. Goicochea Rojas L. Pérez",1
"A. Galán I. Sánchez Vega E. Linares",1
"A. Galán J. Montoya Q. E. Linares",1
"A. Goicochea R. A.D. Gutiérrez R. C. Rimarachin",1
"Antonio Aróstegui Vargas",1
"C. Aliaga Rojas Oscar Zambrano C.",1
"C. Juárez V.",1
"C. Juárez V. R. Vargas S.",1
"Carmen Juárez V. Ronald Vargas S.",1
"Carolina Tovar",1
"D. N. Smith",1
"D. N. Smith R. Valencia Alfredo Gonzales",1
"D. N. Smith R. Valencia M. Buddensiek A. Gonzales",1
"D.N. Smith",1
"D.N. Smith L. Sánchez H. Vidaurre",1
"D.N. Smith M. Buddensiek R. Valencia",1
"D.N. Smith R. Valencia",1
"D.N. Smith R. Valencia A. Gonzales",1
"D.N. Smith R. Valencia Alfredo Gonzales",1
"D.N. Smith R. Valencia M. Buddensiek",1
"David N. Smith",1
"David N. Smith A. Gonzales D. Maldonado",1
"David N. Smith Alfredo Gonzales D. Maldonado",1
"David N. Smith M. Buddensiek",1
"David N. Smith Rene Valencia M. Buddensiek A. Gonzáles",1
"Eve Emshwiller Isidoro Manuel Sánchez Vega",1
"G. Ávila M.",1
"G. Ávila M. M.O. Dillon M. Zapata",1
"Gustavo Iberico Vela Luis Dávila E.",1
"Gustavo Iberico Vela Luis Dávila E. A. Chávez Sta. Cruz.",1
"I. Sánche V. W. Flores S. Leiva G.",1
"I. Sánchez V S. Becerra T.",1
"I. Sánchez V. B. Revilla Ch.",1
"I. Sánchez V. J. Sánchez Vega J. Cabanillas",1
"I. Sánchez V. S. Leiva G. W. Flores",1
"I. Sánchez Vega A. Correa M. Varas.",1
"I. Sánchez Vega A. Miranda L.",1
"I. Sánchez Vega A. Sagástegui Alva",1
"I. Sánchez Vega A. Sagástegui Alva J. Guevara",1
"I. Sánchez Vega A. Sagástegui Alva J. Guevara Barreto",1
"I. Sánchez Vega Alonso Córdova",1
"I. Sánchez Vega Alonso Córdova A. R. Cruz Córdova.",1
"I. Sánchez Vega Ernesto Medina.",1
"I. Sánchez Vega G. Iberico Vela M. Sánchez M.",1
"I. Sánchez Vega G. Iberico Vela R. Diéguez",1
"I. Sánchez Vega J. Cabanillas S.",1
"I. Sánchez Vega J. Cabanillas S. M. Sánchez Montoya J. Cabanillas Medina",1
"I. Sánchez Vega J. Cabanillas Soriano Daniel Montesinos.",1
"I. Sánchez Vega J. Manuel Cabanillas Soriano D. Montesinos.",1
"I. Sánchez Vega J. Montoya Q. R. Cueva R.",1
"I. Sánchez Vega J. Sánchez V.",1
"I. Sánchez Vega J. Sánchez Vega",1
"I. Sánchez Vega J. Sánchez Vega A. León",1
"I. Sánchez Vega James L. Luteyn M. Zapata Cruz",1
"I. Sánchez Vega Jorge Díaz P.",1
"I. Sánchez Vega Juan C. Ocaña Eddy Peña C.",1
"I. Sánchez Vega L. Marcelo Peña Wi. Díaz Miranda",1
"I. Sánchez Vega M Sánchez M. A. Miranda L.",1
"I. Sánchez Vega M. Alva Z.",1
"I. Sánchez Vega M. Gonzales B. T. Ayers",1
"I. Sánchez Vega M. O. Dillon M. Zapata Cruz",1
"I. Sánchez Vega M. Sánchez M. A. Miranda L.",1
"I. Sánchez Vega M. Sánchez Montoya A. Miranda L.",1
"I. Sánchez Vega M. Sánchez Montoya R. Cueva R.",1
"I. Sánchez Vega M. Zapata",1
"I. Sánchez Vega M.O. Dillon G. Iberico",1
"I. Sánchez Vega M.O. Dillon G. Iberico Vela",1
"I. Sánchez Vega Michael O. Dillon Mario Zapata Cruz",1
"I. Sánchez Vega Olga Orozco",1
"I. Sánchez Vega Peter Vargas Chuquilín",1
"I. Sánchez Vega Raquel Sánchez M.",1
"I. Sánchez Vega Ulf Molau. Stephan Nylinder",1
"I. Sánchez Vega W. Castillo",1
"I. Sánchez Vega W. Ruiz Vigo J. Sánchez Vega",1
"I. Sánchez Vega W. Ruiz Vigo J. Sánchez Vega.",1
"I. Sánchez Vega W. Ruiz Vigo M. Malpica R.",1
"I. Sánchez Vega W. Ruíz Vigo",1
"I. Sánchez Vega Wilson Díaz M.",1
"I. Sánchez vega M.O. Dillon",1
"I. sánchez Vega",1
"I. sánchez Vega A. Sagástegui Alva. J. Guevara",1
"Isidoro Manuel Sánchez Vega A. Correa M. Varas",1
"Isidoro Manuel Sánchez Vega A. Miranda",1
"Isidoro Manuel Sánchez Vega Abundio Sagástegui Alva",1
"Isidoro Manuel Sánchez Vega E. Linares A. Galán",1
"Isidoro Manuel Sánchez Vega Gustavo Iberico Vela M. Zapata R. Diéguez",1
"Isidoro Manuel Sánchez Vega José Manuel Cabanillas Soriano Manuel Sánchez Montoya",1
