occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
AMAZ_1,Peru,PE,Maynas,Miraflores (Qda. Tamshiyacu).,-4.25,-72.66666666666667,557,AMAZ2024,TRUE,1986-02-21,"change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_2,Peru,PE,Oxapampa,Puerto Laguna,-10.3,-75.16666666666667,5566,AMAZ2024,TRUE,1984-09-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_3,Peru,PE,Oxapampa,PN Yanachaga-Chemillen. Estacion biologica Huampa 1. zona de recuperación. Bosque montano primario,-10.166666666666666,-75.56666666666666,0,AMAZ2024,TRUE,2003-04-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_4,Peru,PE,Bagua,Comunidad de Yamayakat.,-5.056666666666667,-78.33805555555556,0,AMAZ2024,TRUE,1997-11-08,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_5,Peru,PE,Oxapampa,"Palcazu valley, Cabeza de Mono, 5-6 km west of Iscozacin.",-10.2,-75.23333333333333,0,AMAZ2024,TRUE,1983-04-14,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_6,Peru,PE,Loreto,Nuevo Canaán,,,,AMAZ2024,FALSE,1979-12-13,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_7,Peru,PE,Maynas,Sanangal,,,,AMAZ2024,FALSE,1981-07-18,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_8,Peru,PE,Requena,Cahuan,,,,AMAZ2024,FALSE,1981-12-02,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_9,Peru,PE,Maynas,Cocha Sarapanga.,,,,AMAZ2024,FALSE,1982-07-24,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_10,Peru,PE,Tarma,"Tarma- La Merced road, near Carpapata, 30-34 km from Tarma",-11.266666666666667,-75.55,546,AMAZ2024,TRUE,1984-01-28,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_11,Peru,PE,Maynas,"Carretera Iquitos-Nauta, km 21, trocha de penetración al caserío Yarana.",,,,AMAZ2024,FALSE,1996-07-02,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_12,Peru,PE,Maynas,Quebrada Yanamono; Explorama Yanamono Camp on north side of rio Amazonas,-3.4,-72.81666666666666,5566,AMAZ2024,TRUE,1986-07-25,"change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_13,Peru,PE,Maynas,Estacion Biologica Callicebus,-3.881106,-73.530028,0,AMAZ2024,TRUE,1976-01-10,"change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
