occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
BAR2025_001,Barbados,BB,,Barbados: St John: St Martin's Wood,13.196627,-59.495377,0,BAR2025,TRUE,,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_002,Barbados,BB,,Barbados: St Michael: Cave Hill,13.1335,-59.63142,6,BAR2025,FALSE,1987-11-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_003,Dominica,DM,,Dominica: Portsmouth: Indian River,15.569245,-61.453462,0,BAR2025,FALSE,2007-05-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_004,Dominica,DM,,Dominica: Morne Diablotin,15.504305,-61.406038,0,BAR2025,TRUE,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_005,Dominica,DM,,Dominica: Morne Diablotin,15.504305,-61.406038,0,BAR2025,TRUE,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_006,Dominica,DM,,Dominica: Morne Diablotin,15.504305,-61.406038,0,BAR2025,TRUE,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_007,Saint Kitts and Nevis,KN,,"St. Kitts: Olivees Mountain, base of",17.32623,-62.745875,0,BAR2025,FALSE,2014-07-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_008,Barbados,BB,,Barbados: St Andrew: Turner's Hall Woods,13.22604,-59.58043,1,BAR2025,TRUE,1988-10-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_009,Barbados,BB,,Barbados: St Thomas: Cole's Cave Gully,13.179513,-59.574367,0,BAR2025,TRUE,2004-06-15,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_010,Caribbean Netherlands,BQ,,St Eustatius: The Quill crater rim to Mazinga,17.47528,-62.96498,0,BAR2025,TRUE,2017-01-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_011,Saint Kitts and Nevis,KN,,St. Kitts: Naggs Head summit,17.215355,-62.652557,0,BAR2025,TRUE,2014-07-24,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_012,British Virgin Islands,VG,,Tortola: Paraquita Bay,18.424611,-64.580661,0,BAR2025,FALSE,2011-02-25,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_013,Anguilla,AI,,Anguilla: Palm Grove en route to Windward,18.251283,-62.993126,0,BAR2025,FALSE,2013-01-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_014,Saint Vincent and the Grenadines,VC,,Bequia: Bequia Head,13.037467,-61.210617,0,BAR2025,TRUE,2007-07-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_015,Caribbean Netherlands,BQ,,St Eustatius: The Quill between crater rim and Mazinga,17.47422,-62.96143,1,BAR2025,TRUE,2017-01-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_016,Saint Kitts and Nevis,KN,,St. Kitts: Mt Liamugua trail to crater rim,17.372679,-62.812503,0,BAR2025,TRUE,2013-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_017,Grenada,GD,,Grenada: Mt Qua Qua near summit,12.10432,-61.70232,1,BAR2025,FALSE,2016-08-16,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_018,Saint Kitts and Nevis,KN,,St. Kitts: Mt Liamugua trail to crater rim,17.379234,-62.821971,0,BAR2025,TRUE,2013-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_019,Barbados,BB,,Barbados: St James: Lancaster,13.203543,-59.618273,0,BAR2025,TRUE,1990-06-01,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_020,Barbados,BB,,Barbados: St Michael: Highgate Gardens,13.09153,-59.59119,0,BAR2025,FALSE,2007-05-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_021,Saint Kitts and Nevis,KN,,St. Kitts: Mt Liamugua trail to crater rim,17.373989,-62.8165,0,BAR2025,TRUE,2013-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_022,Caribbean Netherlands,BQ,,St Eustatius: The Quill crater rim to Mazinga,17.47716,-62.9669,0,BAR2025,TRUE,2017-01-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_023,Dominica,DM,,Dominica: Morne Diablotin,15.504305,-61.406038,0,BAR2025,TRUE,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_024,Saint Kitts and Nevis,KN,,St. Kitts: Mt Liamugua trail to crater rim,17.381803,-62.828251,0,BAR2025,TRUE,2013-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_025,Saint Kitts and Nevis,KN,,St. Kitts: Mt Liamugua trail to crater rim,17.380297,-62.826505,0,BAR2025,TRUE,2013-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_026,Saint Vincent and the Grenadines,VC,,St Vincent: Soufriere East side trail,13.32028,-61.16,542,BAR2025,TRUE,2015-08-11,"change1: Trimmed whitespace in locality (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
