occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
CPUN2025_0001,Peru,PE,San Martín,Moyobamba Calzada Ladera de Morro Calzada.,-6.033333333,-77.05,55660,CPUN2025,TRUE,1996-11-05,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0002,Peru,PE,San Martín,Rioja 64 km de Nueva Cajamarca (Km 460); Zona de Jorge Chávez.,,,,CPUN2025,FALSE,1995-07-19,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0003,Peru,PE,San Martín,"Rioja Mina de Sal, sector La Mina.",,,,CPUN2025,FALSE,1995-07-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0004,Peru,PE,Cajamarca,Cutervo. Sócota. Pucarilla.,754786,-9307260,55660,CPUN2025,FALSE,2005-10-15,"change1: Corrected longitude sign for Western Hemisphere (made negative). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0005,Peru,PE,San Martín,"Rioja Pardo Miguel La Sabana, sector Huasta, parte alta de Río Mayo.",-5.7,-77.4,55660,CPUN2025,TRUE,1996-11-09,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0006,Peru,PE,San Martín,"Rioja Elías Soplin Vargas Sector San Pedro. Al O de la carretera Marginal, Km. 465 entre Nueva Cajamarca y Rioja.",-6,-77.3,55660,CPUN2025,TRUE,1999-06-21,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0007,Peru,PE,San Martín,"Rioja Salida a Mashoyacu - Shucaqui. Bosque de Protección Alto Mayo, Toma de Agua, Quebrada Cuchachi.",,,,CPUN2025,FALSE,1995-07-15,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0008,Peru,PE,Cajamarca,Hualgayoc Chugur Perlamayo - Tambillo. La Rinconada.,,,,CPUN2025,FALSE,1986-07-22,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0009,Peru,PE,San Martín,"Rioja Nuevo Cajamarca Cerca del Poblado Palestina, camino a la Cueva Palestina. Bosque de Protección Alto Mayo.",-5.9,-77.35,55660,CPUN2025,TRUE,1996-11-01,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0010,Peru,PE,Cajamarca,"Chota Near Las Palmas, ca. 24 km NE of Chota; fragmented montane forest pockets.",-6.490277778,-78.62361111,55660,CPUN2025,TRUE,1993-04-17,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
