occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
ELE2025_1,República Dominicana,DOM,Santiago,Parque Nacional Armando Bermúdez,19.273198,-71.056611,0,ELE2025,TRUE,2022-08-20,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_2,República Dominicana,DOM,Monseñor Nouel,Reserva Científica Las Neblinas,19.010799,-70.515957,0,ELE2025,TRUE,2021-10-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_3,República Dominicana,DOM,Santiago,Parque Nacional Armando Bermúdez,19.205473,-70.994939,0,ELE2025,TRUE,2023-11-03,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_4,República Dominicana,DOM,Santiago,Recinto Universitario Universidad ISA,19.4491132363694,-70.7462462564482,0,ELE2025,TRUE,,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_5,República Dominicana,DOM,Duarte,Reserva Científica Loma Quita Espuela,19.341981,-70.145753,0,ELE2025,TRUE,2022-10-15,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_6,República Dominicana,DOM,Santiago,Parque Nacional Armando Bermúdez,19.273198,-71.056611,0,ELE2025,TRUE,2022-08-20,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_7,República Dominicana,DOM,Dajabón,"Restauración, Río Artibonito",19.27884,-71.576803,1,ELE2025,TRUE,2021-01-03,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_8,República Dominicana,DOM,Valverde,Reserva forestal Río Cana,19.520321,-71.162081,0,ELE2025,TRUE,2022-06-25,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_9,República Dominicana,DOM,Santiago,Refugio de Vida Silvestre Humedales de Laguna Prieta,19.4130245,-70.6584137,0,ELE2025,TRUE,2021-11-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
ELE2025_10,República Dominicana,DOM,Santiago,Monumento Natural Pico Diego de Ocampo,19.5825907860021,-70.745179703548,0,ELE2025,TRUE,2021-06-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change2: Standardized country to Darwin Core name: 'República Dominicana' -> 'DOMINICAN REPUBLIC'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14]"
