occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
GUYN2008_001,Venezuela,VE,,"P.N. Canaima, O del Auyantepui, aprox. 4 km SE del campamento base, sector Wareipa, cuenca baja del RÃ­o Cucurital.",5.98833333,-62.78416667,,GUYN2008,TRUE,2000-09-28,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_002,Venezuela,VE,,Bajo Caura. Sector El PlayÃ³n. En isla.,6.25,-64.5,5533,GUYN2008,TRUE,1997-05-09,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_003,Venezuela,VE,,"Zona de PequeÃ±a MinerÃ­a """"El Polaco""""",4.55,-61.43333333,557,GUYN2008,TRUE,1997-04-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_004,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_005,Venezuela,VE,,"Ciudad BolÃ­var, JardÃ­n BotÃ¡nico del Orinoco",8.1425,-63.54444444,6,GUYN2008,TRUE,1995-05-15,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_006,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_007,Venezuela,VE,,Ciudad Sucre. Perfil Horizontal y Vertical. Piedemonte (Terraza).,7.09555556,-71.89972222,,GUYN2008,TRUE,1996-05-25,"change1: Corrected taxonRank (SPECIESâ†’FORM); kept scientificName as-is. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_008,Venezuela,VE,,Ciudad Sucre. Perfil Horizontal y Vertical. Piedemonte.,7.09555556,-71.89972222,,GUYN2008,TRUE,1996-05-25,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/â€¦). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_009,Venezuela,VE,,Ciudad Sucre. Perfil Horizontal y Vertical. Piedemonte.,7.09555556,-71.89972222,,GUYN2008,TRUE,1996-05-25,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/â€¦). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_010,Venezuela,VE,,Tipo de formaciÃ³n. Dpto. Rio Negro H8 (Pica 1. NW 45Â°),2.26666667,-63.51666667,,GUYN2008,TRUE,1991-10-18,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/â€¦). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_011,Venezuela,VE,,Ciudad Sucre. Perfil Horizontal y Vertical. Piedemonte.,7.09555556,-71.89972222,,GUYN2008,TRUE,1996-05-25,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/â€¦). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_012,Venezuela,VE,,Ciudad Sucre. Perfil Horizontal y Vertical. Piedemonte.,7.09555556,-71.89972222,,GUYN2008,TRUE,1996-05-25,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/â€¦). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_013,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_014,Venezuela,VE,,"Cuenca hidrogrÃ¡fica del rÃ­o MorÃ³n, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_015,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Trimmed whitespace in scientificName (and standardized blanks to NA) | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_016,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
GUYN2008_017,Venezuela,VE,,"Cuenca Hidrografica del RÃ­o Moron, parte alta.",10.29111111,-68.17111111,,GUYN2008,TRUE,1991-04-13,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Corrected taxonRank (SPECIESâ†’FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
