occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
HGOM2025_0001,Mexico,MX,Hidalgo,"Tlanchinol, Lontla",21.02833333,-98.64194444,0,HGOM2025,TRUE,2001-03-20,"change1: Canonicalized scientificName to binomial and moved trailing authorship. | change2: Genus-only but taxonRank=SPECIES → moved genus token, set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0002,Mexico,MX,Hidalgo,San Bartolo Tutotepec,20.41388889,-98.24,522,HGOM2025,TRUE,2013-07-10,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0003,Mexico,MX,Hidalgo,Peña del Cuervo,20.18681944,-98.71203056,0,HGOM2025,TRUE,2009-05-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0004,Mexico,MX,Hidalgo,"Pacula, Parque Nacional Los Marmoles",20.91086111,-99.328,52,HGOM2025,TRUE,2006-03-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0005,Mexico,MX,Hidalgo,Puerto de Piedra,20.84038889,-99.317825,0,HGOM2025,TRUE,2006-05-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0006,Mexico,MX,Hidalgo,Cerro Cangando,20.88661111,-99.20308333,0,HGOM2025,TRUE,2005-11-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0007,Mexico,MX,Hidalgo,"El Cardonal, Valle del Mezquital",20.68166667,-99.14558333,0,HGOM2025,TRUE,2010-09-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0008,Mexico,MX,Hidalgo,"Huazalingo, Cerro Huazalingo",20.98005556,-98.51641667,0,HGOM2025,TRUE,2013-07-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0009,Mexico,MX,Hidalgo,"Tenango de Doria, El Gosco",20.32716944,-98.24919444,0,HGOM2025,TRUE,2011-11-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0010,Mexico,MX,Hidalgo,Xaja,20.38469444,-98.19061111,0,HGOM2025,TRUE,2008-12-02,"change1: Canonicalized scientificName to binomial and moved trailing authorship. | change2: Fixed capitalization: ensured 'Genus epithet' with lowercase epithet. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
