occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
HIP2025_0001,Chile,CL,,"bahÃ­a Campana, isla Clarence",-53.2167,-73.2333,6,HIP2025,FALSE,27452,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0002,Chile,CL,,"bahÃ­a del Indio, lote San Isidro, rÃ­o Yumbel",-53.80466,-71.02146,1,HIP2025,FALSE,26720,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0003,Chile,CL,,valle del rÃ­o Soler,-47,-73.25,55660,HIP2025,TRUE,26296,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0004,Chile,CL,,"bahÃ­a Morris, isla CapitÃ¡n Aracena",-54.25278,-70.99653,1,HIP2025,FALSE,26280,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0005,Argentina,AR,,"bahÃ­a Crossley, isla de los Estados",-54.8,-64.6833333,5566,HIP2025,TRUE,26223,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0006,Chile,CL,,"Puerto Abrigado, Puerto Basil Hall, isla de los Estados",-54.7666667,-64.1666667,0,HIP2025,FALSE,26228,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0007,Chile,CL,,"bahÃ­a Liberty, isla de los Estados",-54.8333333,-64.4,3206,HIP2025,FALSE,26239,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0008,Chile,CL,,"isla Hoste, seno Ponsonby",-55.08333333,-68.9666667,0,HIP2025,TRUE,28164,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0009,Chile,CL,,"seno Ãšltima Esperanza, penÃ­nsula al oeste de desembocadura del rÃ­o Serrano",-51.4166667,-73.0666667,0,HIP2025,TRUE,28148,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0010,Chile,CL,,"seno Ãšltima Esperanza, lado este de lago Azul",-51.45,-73.3,3469,HIP2025,TRUE,28135,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0011,Chile,CL,,"seno UniÃ³n, lado norte de ancÃ³n sin salida",-52.15,-73.35,557,HIP2025,FALSE,27769,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0012,Chile,CL,,"isla Rennel norte, canal Smyth",-51.9,-74.2,5566,HIP2025,TRUE,27785,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0013,Chile,CL,,"isla Virtudes, canal ElÃ­as, Puerto Virtudes",-51.55,-74.9,3461,HIP2025,FALSE,27799,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0014,Chile,CL,,"isla Vidal GormÃ¡z, seno Nantuel, BahÃ­a MarÃ­a AngÃ©lica",-51.8833333,-74.6833333,0,HIP2025,TRUE,27793,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0015,Chile,CL,,"isla Virtudes, canal ElÃ­as, Puerto Virtudes",-51.55,-74.9,3461,HIP2025,FALSE,27802,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0016,Chile,CL,,"seno Ãšltima Esperanza, Puerto Bella Vista, costa norte",-51.5166667,-73.2666667,0,HIP2025,TRUE,28136,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0017,Chile,CL,,"seno Ãšltima Esperanza, Puerto Toro, oeste del rÃ­o Serrano, norte del ventisquero Balmaceda",-51.4166667,-73.0833333,0,HIP2025,TRUE,28143,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0018,Chile,CL,,"seno Ãšltima Esperanza, Puesto Balmaceda, costa este del rÃ­o Serrano",-51.3166667,-73.1166667,0,HIP2025,TRUE,28150,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0019,Chile,CL,,"seno Ãšltima Esperanza, Puerto Toro, costa este del rÃ­o Serrano",-51.4166667,-73.0666667,0,HIP2025,TRUE,28147,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0020,Chile,CL,,"seno Ãšltima Esperanza, Puerto Toro, rÃ­o Serrano, lado oeste de estuario, penÃ­nsula",-51.4166667,-73.0833333,0,HIP2025,TRUE,28141,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0021,Chile,CL,,"seno Ãšltima Esperanza, Puerto Bella Vista, costa norte, bahÃ­a norte de viejo campamento",-51.4666667,-73.2666667,0,HIP2025,TRUE,28138,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0022,Chile,CL,,"seno Ãšltima Esperanza, Puerto Toro, rÃ­o Serrano, lado oeste de estuario, penÃ­nsula",-51.4166667,-73.0833333,0,HIP2025,TRUE,28141,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0023,Chile,CL,,"seno Ãšltima Esperanza, Puerto Toro, rÃ­o Serrano, lado oeste de estuario, penÃ­nsula",-51.85,-73.0333333,557,HIP2025,TRUE,28511,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
