occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
HUAA2024_0001,México,MX,Zacatecas,"Recorrido Peña Colorada - Río de Santa Gertrudis (Río de Abajo), NE de Tlachichila, Sierra del Laurel.",21.549167,-102.762222,0,HUAA2024,TRUE,2006-04-08,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0002,México,MX,Zacatecas,"Ceja del Río (El tepame), antiguo camino Tlachichila-Río de Enmedio.",21.5644,-102.7777,6,HUAA2024,TRUE,2011-08-19,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0003,México,MX,Jalisco,"7.6 km en LR al NE de Villa Hidalgo, al NE de presa Charco Largo, cerca de Arroyo Seco.",21.723497,-102.643509,0,HUAA2024,TRUE,2011-11-25,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0004,México,MX,Aguascalientes,"El Salto de Cerro Blanco, 10 km al W de Calvillo.",21.8441,-102.82009,6,HUAA2024,TRUE,1994-11-22,"change1: Trimmed whitespace in verbatimScientificName. | change2: Set taxonRank=SPECIES from binomial scientificName. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change4: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0005,México,MX,Aguascalientes,"El Salto de Cerro Blanco, 10 km al W de Calvillo.",21.8441,-102.82009,6,HUAA2024,TRUE,1986-10-01,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0006,México,MX,Durango,Alrededores de La Guajolota.,22.959444,-104.631944,0,HUAA2024,TRUE,1994-11-09,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0007,Costa Rica,CR,Cartago,Parque nacional Los Quetzales.,9.60277778,-83.7625,5,HUAA2024,TRUE,2013-01-17,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0008,Costa Rica,CR,Herendia,Estación Biológica La Selva.,10.43333333,-83.98333333,0,HUAA2024,TRUE,2013-01-20,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0009,México,MX,Veracruz de Ignacio de la Llave,"6 km Este de Cedillo, Camino a La Laguna.",17,-94.58333333,55660,HUAA2024,TRUE,1974-03-15,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0010,México,MX,Oaxaca,"Distrito Juxtlahuaca, A 10 km de El Manantial, carretera a Infiernillo.",17.20155278,-98.08675,1,HUAA2024,TRUE,2014-07-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
