occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
HERBARIO:ICESI:2,Colombia,CO,,"Aují - La Esperanza, vía a Tenerife",,,,ICESI2024,FALSE,2000-06-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:3,Colombia,CO,,Campus Universidad Icesi,3.341944444444445,-76.52820555555556,0,ICESI2024,TRUE,2012-05-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:4,Colombia,CO,,Camino a The Peak,,,,ICESI2024,FALSE,2009-12-02,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:5,Colombia,CO,,"Corregimiento de Atuncela, sector La Bocatoma",,,,ICESI2024,FALSE,2010-07-09,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:6,Colombia,CO,,Margen del río Cauca,,,,ICESI2024,FALSE,2009-04-21,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:7,Colombia,CO,,Margen del río Cauca,,,,ICESI2024,FALSE,2009-04-21,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:8,Colombia,CO,,Campus Universidad Icesi,3.341944444444445,-76.52820555555556,0,ICESI2024,TRUE,2010-05-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:9,Colombia,CO,,Campus Universidad Icesi,3.341944444444445,-76.52820555555556,0,ICESI2024,TRUE,2014-05-20,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:10,Colombia,CO,,Piedemonte seco,,,,ICESI2024,FALSE,2010-06-15,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
HERBARIO:ICESI:11,Colombia,CO,,"Corregimiento de Loboguerrero, finca Cruces y alrededores",,,,ICESI2024,FALSE,2003-07-08,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
