occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
PRG2025_0001,Peru,PE,Piura,Huancabamba. Huarmaca. Chinche,,,,PRG2025,FALSE,1979-10-23,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0002,Peru,PE,Cajamarca,San Ignacio. La Coipa. El Machetillo,,,,PRG2025,FALSE,1979-10-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0003,Peru,PE,Cajamarca,San Ignacio. La Coipa. El Machetillo,,,,PRG2025,FALSE,1979-10-29,"change1: Trimmed whitespace in scientificName (and standardized blanks to NA) | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0004,Peru,PE,Cajamarca,San Ignacio. La Coipa. El Machetillo,,,,PRG2025,FALSE,1979-10-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0005,Peru,PE,Cajamarca,San Ignacio. La Coipa. El Machetillo,,,,PRG2025,FALSE,1979-10-29,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0006,Peru,PE,Cajamarca,Cutervo. San Andres. San Andrés,,,,PRG2025,FALSE,1985-02-24,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0007,Peru,PE,Cajamarca,Contumaza. Contumaza. Cachil,,,,PRG2025,FALSE,1958-10-03,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0008,Peru,PE,Lambayeque,Lambayeque. Motupe. Colaya,,,,PRG2025,FALSE,1992-06-20,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0009,Peru,PE,San Martín,Tocache. Tocache.,,,,PRG2025,FALSE,1996-09-12,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0010,Peru,PE,Cajamarca,Chota. Querocoto. Caserio La Granja,,,,PRG2025,FALSE,1999-02-12,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0011,Peru,PE,Cajamarca,Chota. Querocoto. Camino a La Granja,,,,PRG2025,FALSE,1999-09-10,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0012,Peru,PE,Cajamarca,San Miguel. Bolívar.,,,,PRG2025,FALSE,2000-12-16,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0013,Peru,PE,Lambayeque,Lambayeque. Olmos. La Beatita,,,,PRG2025,FALSE,2001-01-06,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0014,Peru,PE,Cajamarca,Cutervo. Santo Domingo de La Capilla. La Capilla,,,,PRG2025,FALSE,2008-02-10,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0015,Peru,PE,Lambayeque,Lambayeque. Salas. Huarhuarcucho,,,,PRG2025,FALSE,2014-06-07,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
