occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
UIS:Herbario:17013,Colombia,CO,,"El Carmen, Vereda La Bodega, sitio Filo de Manchurias, área de bosque maduro, en borde de finca y área de pastizales, margen de PNN Serranía de Los Yariguíes.",6.674914,-73.441306,0,UIS2024,TRUE,2010-02-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21490,Colombia,CO,,"Vereda La Bodega, sitio Filo de Manchurrias, Parque Nacional Natural Serranía de los Yariguíes.",6.6695,-73.441306,6,UIS2024,TRUE,2012-02-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21997,Colombia,CO,,"San José de Suaita, Reserva Natural La Meseta",6.172724,-73.426259,0,UIS2024,TRUE,2018-04-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:06075,Colombia,CO,,vía a Pamplona West slope of cordillera Oriental protectec forest along road to Tona C 18 km above ( E OF ) Bucaramanga toward PamplonaHwy from Bucaramanga to Cúcuta subpáramo woodland,7.133333,-73.05,0,UIS2024,TRUE,1986-03-05,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09798,Colombia,CO,,Campo Capote 30 km al E de Carare mature tropical moist forest,6.672207,-73.924144,0,UIS2024,TRUE,1977-09-29,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:05674,Colombia,CO,,Piedecuesta Mesa de los Santos Vereda La Esperanza,6.90946,-73.06517,1,UIS2024,TRUE,1984-04-16,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09239,Colombia,CO,,Serranía La Cacica costado Sur,6.78869,-73.32635,1,UIS2024,TRUE,1994-08-03,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09451,Colombia,CO,,"Corregimiento de Virolín, ribera norte del río virolín a 1 km del puente sobre el mismo río",6.102694,-73.222444,0,UIS2024,TRUE,1995-09-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:13987,Colombia,CO,,Campo Capote 30 km al E de Carare mature tropical moist forest,6.672207,-73.924144,0,UIS2024,TRUE,1977-09-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14502,Colombia,CO,,"PNN, Area Natural Unica Los Estoraques",8.222624,-73.246657,0,UIS2024,TRUE,2001-01-25,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14675,Colombia,CO,,"PNN, Catatumbo-Barí, Resguardo indígena de la comunidad Bridikaira, Vereda Santafé de Honduras.",8.804255,-73.243162,0,UIS2024,TRUE,2005-03-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14696,Colombia,CO,,"Norte de Santander, Cáchira, Corregimiento La Vega, vereda San Francisco km 4 SW adelante de la Escuela San Francisco hacia la falla, en remanentes de bosque Andino",7.65,-73.183333,0,UIS2024,TRUE,1996-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15803,Colombia,CO,,"Suaita, corregimiento de San José de Suaita, Vereda La Meseta, cercanías quebrada La Laja, bosque reservado de la fábrica",6.173947,-73.432823,0,UIS2024,TRUE,2001-07-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15804,Colombia,CO,,"Piedecuesta, El Rasgón, (CDMB), Vereda Cristales.",7.05,-72.983333,0,UIS2024,TRUE,1997-08-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15934,Colombia,CO,,"El Carmen, Vereda La Bodega, sitio Filo de Manchurias; área de bosque maduro, en borde de finca y área de pastizales; margen de PNN Serranía de los Yariguies.",6.68683,-73.43923,1,UIS2024,TRUE,2010-02-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15935,Colombia,CO,,"PNN, Catatumbo-Barí, Resguardo indígena de la comunidad Bridikaira, Vereda Santafé de Honduras.",8.804255,-73.243162,0,UIS2024,TRUE,2005-03-19,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:16945,Colombia,CO,,,7.042014,-72.98226,0,UIS2024,TRUE,2002-02-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:16948,Colombia,CO,,"Cáchira, Corregimiento La Vega, Vereda San Francisco, 4 km. SW delante de la Escuela San Francisco hacia la falla, en remanentes de bosque andino; alrededores del Levantamiento.",7.65,-73.183333,0,UIS2024,TRUE,1996-03-24,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:16951,Peru,PE,,"Loreto, Dtto. Iquitos, Allpahuayo",-4.166667,-73.5,0,UIS2024,TRUE,1992-03-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:17615,Colombia,CO,,"Suaita, Inspección de policía de San José de Suaita, alrededores de la antigua hilandería de San José, orilla de la carretera.",6.166667,-73.452222,0,UIS2024,TRUE,1999-09-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:17625,Colombia,CO,,"San José de Cúcuta, Cerro Tasajero, Vereda Los Peracos hacia la torre de Inravisión.",8.019352,-72.458811,0,UIS2024,TRUE,2006-06-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:17711,Colombia,CO,,"La Esperanza, Predio Las Violetas.",7.606389,-73.352203,0,UIS2024,TRUE,2016-06-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18095,Colombia,CO,,"Suaita, Corregimiento de San José de Suaita, Reserva Natural La Meseta, Fundación San Cipriano.",6.17275,-73.43047,1,UIS2024,TRUE,2018-04-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18154,Colombia,CO,,"Finca Buenos Aires, filo de Manchurias",6.67657,-73.44352,1,UIS2024,TRUE,2018-02-21,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18214,Colombia,CO,,Finca Buenos Aires,6.68503,-73.43634,1,UIS2024,TRUE,2018-03-01,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18216,Colombia,CO,,Finca Buenos Aires,6.68503,-73.43634,1,UIS2024,TRUE,2018-03-01,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18220,Colombia,CO,,Finca Buenos Aires,6.68503,-73.43634,1,UIS2024,TRUE,2018-03-01,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18455,Colombia,CO,,"Santander, Cimitarra, Sector el 28, finca El Dorado, en cercanias al rio Carare",6.42465,-74.088183,1,UIS2024,TRUE,2018-07-12,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18456,Colombia,CO,,"Santander, Cimitarra, Sector el 28, finca El Dorado, en cercanias al rio Carare",6.42465,-74.088183,1,UIS2024,TRUE,2018-07-12,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18485,Colombia,CO,,"Santander, Cimitarra, Sector el 28, finca El Dorado, en cercanias al rio Carare",6.431417,-74.095817,0,UIS2024,TRUE,2018-07-14,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18511,Colombia,CO,,"Santander, Cimitarra, Sector el 28, finca Lusitania, en cercanias al rio Carare",6.390567,-74.125667000000007,0,UIS2024,TRUE,2018-07-17,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18892,Colombia,CO,,"Betulia, V. Santa Bárbara, Cuchilla Tierra Fría, F. El Porvenir",6.951556,-73.302389,0,UIS2024,TRUE,2000-02-07,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:18900,Colombia,CO,,"Cimitarra, V. Los Indios, Hda. Las Camelias, en margen izquierda de la quebrada,  bosque primario media intervención.",6.568022,-74.002611,0,UIS2024,TRUE,2000-01-20,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:19375,Colombia,CO,,"Suaita, Corregimiento San José de Suaita, Reserva La Meseta, Vereda Neftalí, Fundación San Cipriano",6.17033,-73.41447,1,UIS2024,TRUE,2018-09-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:19382,Colombia,CO,,"Suaita, Corregimiento San José de Suaita, Reserva La Meseta, Vereda Neftalí, Fundación San Cipriano",6.17033,-73.41447,1,UIS2024,TRUE,2018-09-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:19484,Colombia,CO,,"San Vicente de Chucurí, V. La Unión, F. León, cerda de la quebrada La India, bosque primario baja intervención.",6.85,-73.474444,557,UIS2024,TRUE,2000-01-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:19797,Colombia,CO,,"El Carmen de Chucurí, Vereda La Belleza, subiendo por la ribera norte de la quebrada Cascajales hacia los límites del PNN Yariguíes,",6.559825,-73.567354,0,UIS2024,TRUE,2018-02-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:20002,Colombia,CO,,"Santa Bárbara, Vereda La Salina, trocha subiendo desde el campamento (7,0029722 / -72,873972) hacia la quebrada donde se toma el agua para la hacienda San Francisco (7,00135 / -77,87573). Bosque andino relictual.",7.001,-72.876,56,UIS2024,TRUE,2018-09-10,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21237,Colombia,CO,,"Coromoro, corregimiento Cincelada, vereda Naranjal, finca La Espumosa",6.241986,-73.029447,0,UIS2024,TRUE,2021-05-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21439,Colombia,CO,,"Vereda Cachimbero, Hacienda San Miguel, Cienága de Cachimbero.",6.3657778,-74.3759722,0,UIS2024,TRUE,2001-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
