occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
PECS2025_0001,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0002,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0003,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0004,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0005,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0006,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0007,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0008,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0009,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0010,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0011,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0012,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0013,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PECS2025_0014,Peru,PE,Cusco,"Cusco, Parque National del ManÃº",-13.0962133733223,-71.6296463033316,0,bertelmann_h_2025_PECS,TRUE,2025-04-15,"change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
