occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
carranza_av_2023_001,Argentina,AR,,Parque Nacional Calilegua. Sector Mesada de las Colmenas. Sendero a la cascada.,-23.69995,-64.8707667,1,carranza_av_2023,TRUE,2006-12-08,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_002,Argentina,AR,,"Parque Nacional Calilegua, Sector Mesada de Las Colmenas.",-23.7002778,-64.8725,5,carranza_av_2023,TRUE,2006-03-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_003,Argentina,AR,,Parque Nacional Calilegua. Sendero de Los Toldos a naciente Arroyo Totorillas,-23.6666667,-64.8833333,0,carranza_av_2023,TRUE,2006-12-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_004,Argentina,AR,,"Parque Nacional Calilegua, sector sur, arroyo Aguas Negras sur",-23.8980556,-64.9402778,0,carranza_av_2023,TRUE,2009-03-03,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_005,Argentina,AR,,Parque Nacional Calilegua. Sector Aguas Negras.,-23.7666667,-64.85,509,carranza_av_2023,TRUE,2009-11-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_006,Argentina,AR,,"Parque Nacional Calilegua, Caimancito.",-23.6269444,-64.5858333,0,carranza_av_2023,TRUE,2010-09-10,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_007,Argentina,AR,,"Parque Nacional Calilegua, ruta provincial 83",-23.7875,-64.8,5093,carranza_av_2023,TRUE,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_008,Argentina,AR,,"Parque Nacional Calilegua, ruta provincial 83.",-23.7875,-64.8,5093,carranza_av_2023,TRUE,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_009,Argentina,AR,,"Parque Nacional Calilegua, sector ruta nacional 83, arroyo Aguas Negras.",-23.7558333,-64.8486111,0,carranza_av_2023,TRUE,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_010,Argentina,AR,,"Parque Nacional Calilegua, ruta provincial 83.",-23.6863889,-64.8816667,0,carranza_av_2023,TRUE,2013-10-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_011,Argentina,AR,,Parque Nacional Calilegua. Sector Este. Subsector Caimancito,-23.6458333,-64.5986111,0,carranza_av_2023,TRUE,2013-12-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
