occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
gallegos_s_2025_00001,Bolivia,BO,,"Condor Mayu. Parcela de restauración cerca a la Estación climática antigua de chusial en la cima de Challani, subiendo por el Paraíso.",-16.409888888888887,-67.56608333333332,,gallegos_s_2025,TRUE,2021-09-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00002,Bolivia,BO,,Paraíso. Parcela de restauración donde se instalaron redes de captura para aves y murciélagos.,-16.391383333333334,-67.5634,,gallegos_s_2025,TRUE,2021-05-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00003,Bolivia,BO,,Huayrapata. Bosque donde se encuentran las trampas de semilla de Casa don Justo.,-16.411583333333333,-67.56968333333333,,gallegos_s_2025,TRUE,2021-08-14,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00004,Bolivia,BO,,Palma Pampa. Entrando por las antenas de Entel. Bosque donde se encuentran las trampas de semilla sector Antena.,-16.35375,-67.51875,,gallegos_s_2025,TRUE,2021-08-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00005,Bolivia,BO,,Palma Pampa. Entrando por las antenas de Entel. Bosque donde se encuentran las trampas de semilla sector Antena.,-16.35375,-67.51875,,gallegos_s_2025,TRUE,2021-08-14,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00006,Bolivia,BO,,Palma Pampa. Entrando por las antenas de Entel. Bosque donde se encuentran las trampas de semilla sector Antena.,-16.35375,-67.51875,,gallegos_s_2025,TRUE,2021-08-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00007,Bolivia,BO,,Condor Mayu. Parcela de restauración con casa de murcielagos.,-16.4108,-67.56013333333333,,gallegos_s_2025,TRUE,2022-02-16,"change1: Cleared scientificName (not strict binomial) | change2: Normalized/filled taxonRank without overwriting existing non-empty values | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00008,Bolivia,BO,,Villa Mendoza. Camino de Huancané hacia San Isidro.,-16.332444444444445,-67.49197222222222,,gallegos_s_2025,TRUE,2021-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00009,Bolivia,BO,,Villa Mendoza. Camino de Huancané hacia San Isidro.,-16.33367222222222,-67.49650555555556,,gallegos_s_2025,TRUE,2021-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00010,Bolivia,BO,,Villa Mendoza. Camino de Huancane hacia San Isidro. Sector segunda cumbre.,-16.341702777777776,-67.4957388888889,,gallegos_s_2025,TRUE,2021-03-27,"change1: Cleared scientificName (not strict binomial) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
