occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
338004330,United States of America,US,,"Kuliouou - Kalani Iki, Honolulu, HI, USA",21.3057837848,-157.7529627433,0,iNat2026,TRUE,2026-02-06,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
338004321,United States of America,US,,"Kuliouou - Kalani Iki, Honolulu, HI, USA",21.3077290702,-157.7554482941,0,iNat2026,TRUE,2026-02-06,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337936880,Montserrat,MS,,"Weekes, Montserrat",16.7274204105,-62.2129017598,9,iNat2026,TRUE,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337911619,,,,"Paraparaumu Ward, Wellington, NZ",-40.8521788055,174.9299581471,6,iNat2026,FALSE,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337907620,Mexico,MX,,"San Cristóbal de las Casas, Chis., MX",16.7595783333,-92.632705,62,iNat2026,TRUE,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337836090,New Zealand,NZ,,"Auckland, Auckland, NZ",-36.9177023937,174.4697056562,32,iNat2026,TRUE,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337784447,Australia,AU,,"Binna Burra QLD 4211, Australia",-28.2043444444,153.1881305556,0,iNat2026,TRUE,2026-02-08,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337773138,China,CN,,昆明市,24.8171920776,103.3257827759,461,iNat2026,TRUE,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337754673,Costa Rica,CR,,Monteverde Cloudforest Preserve - Continental Divide Trail. Costa Rica.,10.302071,-84.790367,5,iNat2026,TRUE,2026-01-23,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337747384,Costa Rica,CR,,"Curi Cancha Wildlife Refuge, Puntarenas, CR",10.3050788253,-84.7996306222,357,iNat2026,TRUE,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337744972,United States of America,US,,"Collier County, US-FL, US",26.0825816401,-81.4309147454,5,iNat2026,TRUE,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337744414,United States of America,US,,"Collier County, US-FL, US",26.065822678,-81.466342417,41,iNat2026,TRUE,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337743179,United States of America,US,,"Collier County, US-FL, US",26.1228805668,-81.4648677515,844,iNat2026,TRUE,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
