occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
kessler_m_2021b_00001,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00002,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00003,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00004,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00005,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00006,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00007,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5642204707926,-88.6299735045563,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00008,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5646009481078,-88.6311455618522,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00009,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5646009481078,-88.6311455618522,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00010,Honduras,HN,Lempira,Parque Nacional Montaña de Celaque,14.5646009481078,-88.6311455618522,0,kessler_m_2021b,TRUE,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
