occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
kroemer_t_2024_00001,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00002,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00003,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00004,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00005,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00006,MEXICO,MX,,,19.25,-96.8833333333333,557,kroemer_t_2024,TRUE,2008-05-26,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00007,MEXICO,MX,,,18.35,-94.8166666666667,557,kroemer_t_2024,TRUE,2008-07-29,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00008,MEXICO,MX,,,18.35,-94.8166666666667,557,kroemer_t_2024,TRUE,2008-07-29,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00009,MEXICO,MX,,,18.35,-94.8166666666667,557,kroemer_t_2024,TRUE,2008-07-29,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
kroemer_t_2024_00010,MEXICO,MX,,,18.35,-94.8166666666667,557,kroemer_t_2024,TRUE,2008-07-29,"change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | Filled missing family/order/phylum from taxonomy lookups [2026-03-29] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-29] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29] | EpIG backbone exact match + accepted name update [2026-03-29]"
