occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
peperomia_net2025_00001,Colombia,CO,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00002,Ecuador,EC,,Archidona,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00003,Colombia,CO,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00004,Colombia,CO,,"Santander, vicinity of California",,,,peperomia_net2025,FALSE,1827-06-11,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00005,French Polynesia,PF,,3rd valley south of Uturoa,,,,peperomia_net2025,FALSE,1926-10-28,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00006,Ethiopia,ET,,Valle de Maschika,,,,peperomia_net2025,FALSE,1840-03-02,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00007,Tanzania,TZ,,Distrito de Arusha,,,,peperomia_net2025,FALSE,1966-03-21,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00008,Bolivia,BO,,Rio aceramarca,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00009,Bolivia,BO,,"Polo-Polo cerca de Coroico, Nor Yungas.",,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00010,Bolivia,BO,,Provincia Germán Busch en el departamento de Santa Cruz,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00011,Honduras,HN,,Departamento de Comayagua,,,,peperomia_net2025,FALSE,1928-02-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00012,Brazil,BR,,Putumayo-Içá,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00013,Peru,PE,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00014,Venezuela,VE,,Sierra Nevada de Santo Domingo,,,,peperomia_net2025,FALSE,1971-08-29,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00015,Panama,PA,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00016,Brazil,BR,,Provincia de Minas Gerais,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00017,Peru,PE,,Tarapoto,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00018,Costa Rica,CR,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00019,French Polynesia,PF,,"Hiva Oa, Mt. Temetiu - cresta al norte de la cumbre",,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00020,Bolivia,BO,,Provincia de Larecaja,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00021,Australia,AU,,Norfolk Island,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00022,Venezuela,VE,,Colonia Tovar,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00023,Brazil,BR,,"Santa María Madalena, Río",,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00024,Australia,AU,,Norfolk Island,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00025,Peru,PE,,Valle de Chanchamayo,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
peperomia_net2025_00026,Peru,PE,,,,,,peperomia_net2025,FALSE,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Created minimumElevationInMeters from verbatimElevation; values 5001-15000 treated as feet and converted to meters, >15000 set to NA [2026-04-14]"
