occurrenceID,country,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,datasetID,.ok_for_analysis,eventDate,changes
sandoya_v_2007_0001,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0002,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0003,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0004,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0005,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0006,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0007,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0008,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0009,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0010,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0011,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0012,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0013,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0014,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0015,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0016,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0017,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0018,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0019,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0020,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0021,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0022,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0023,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0024,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0025,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0026,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0027,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Normalized/filled taxonRank without overwriting existing non-empty values | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0028,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
sandoya_v_2007_0029,Ecuador,EC,,Crest  on the Yasuní's permanent 50 hectares plot. Yasuní National Park,-0.680472222,-76.38986667,0,VS2007,TRUE,,"change1: Moved qualifiers from scientificName to identificationQualifier | change2: Cleared scientificName (not strict binomial) | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
