"","occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","discardReason","ok.2","georef_class"
"1","AMAZ_1","Peru","PE","Maynas","Miraflores (Qda. Tamshiyacu).",-3.778369,-73.7006626,925,"AMAZ2024",TRUE,"1986-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"2","AMAZ_2","Peru","PE","Oxapampa","Puerto Laguna",-10.3,-75.1666666666667,628,"AMAZ2024",TRUE,"1984-09-13","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Left as original",FALSE,"simple"
"3","AMAZ_3","Peru","PE","Oxapampa","PN Yanachaga-Chemillen. Estacion biologica Huampa 1. zona de recuperacion. Bosque montano primario",-10.5744142,-75.4044292,517,"AMAZ2024",TRUE,"2003-04-14","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"4","AMAZ_4","Peru","PE","Bagua","Comunidad de Yamayakat.",-5.05666666666667,-78.3380555555556,3142,"AMAZ2024",TRUE,"1997-11-08","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Left as original",FALSE,"simple"
"5","AMAZ_5","Peru","PE","Oxapampa","Palcazu valley, Cabeza de Mono, 5-6 km west of Iscozacin.",-10.2,-75.2333333333333,517,"AMAZ2024",TRUE,"1983-04-14","change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Left as original",FALSE,"detailed"
"6","AMAZ_6","Peru","PE","Loreto","Nuevo Canaan",-6.0608488,-75.8480473,925,"AMAZ2024",FALSE,"1979-12-13","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"7","AMAZ_7","Peru","PE","Maynas","Sanangal",-3,-73.666667,628,"AMAZ2024",FALSE,"1981-07-18","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"8","AMAZ_8","Peru","PE","Requena","Cahuan",-6,-74.166667,628,"AMAZ2024",FALSE,"1981-12-02","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"9","AMAZ_9","Peru","PE","Maynas","Cocha Sarapanga.",-3.8211138,-73.3604169,517,"AMAZ2024",FALSE,"1982-07-24","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"simple"
"10","AMAZ_10","Peru","PE","Tarma","Tarma- La Merced road, near Carpapata, 30-34 km from Tarma",-11.4199882,-75.6877142,758,"AMAZ2024",TRUE,"1984-01-28","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"detailed"
"11","AMAZ_11","Peru","PE","Maynas","Carretera Iquitos-Nauta, km 21, trocha de penetracion al caserio Yarana.",-3.8296709,-73.3756125,925,"AMAZ2024",FALSE,"1996-07-02","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","Corrected: points were corrected according to the locality",TRUE,"detailed"
