"occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","ok.2","discardReason"
"BA2025_001","Paraguay","PY",NA,"Alto Paraná, Puerto Bertoni",NA,NA,NA,"BA2025",FALSE,"1938-06-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",FALSE,NA
"BA2025_002","Brazil","BR",NA,"Leopoldina, Domingos Pisoni",NA,NA,NA,"BA2025",FALSE,"1936-05-24","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",FALSE,NA
"BA2025_003","Argentina","AR",NA,"Puerto Aguirre",NA,NA,NA,"BA2025",FALSE,"2558-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",FALSE,NA
"BA2025_004","Argentina","AR","Misiones","Río Uruguaí, curso medio, Campamento Yacú-Poí",-25.937071,-54.256221,0,"BA2025",TRUE,"1949-10-25","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_005","Argentina","AR","Misiones","Del arroyo La Cruz al Km 284 (Ruta 14 D.G. Vialidad) +/- 40km antes de Fracrán",NA,NA,NA,"BA2025",FALSE,"1937-07-26","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_006","Argentina","AR","Misiones","Del arroyo La Cruz al Km 284 (Ruta 14 D.G. Vialidad) +/- 40km antes de Fracrán",NA,NA,NA,"BA2025",FALSE,"1937-07-26","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_007","Argentina","AR","Tucuman","Naranjal (Yerba Buena)",NA,NA,NA,"BA2025",FALSE,"6607-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_008","Argentina","AR","Tucuman","Yerba Buena",NA,NA,NA,"BA2025",FALSE,"7580-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_009","Argentina","AR","Tucuman","El Cadillal",NA,NA,NA,"BA2025",FALSE,"1927-12-10","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
"BA2025_010","Argentina","AR","Tucuman","El Cadillal",NA,NA,NA,"BA2025",FALSE,"1927-12-10","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]",TRUE," | stateProvince asignado por verificacion geografica de locality"
