"";"occurrenceID";"country";"countryCode";"stateProvince";"locality";"decimalLatitude";"decimalLongitude";"coordinateUncertaintyInMeters";"datasetID";".ok_for_analysis";"eventDate";"changes";"ok.2";"discardReason"
"1";"SURCO:396";"COLOMBIA";"CO";NA;"Municipio de Acevedo. PNN Cueva de Los Guacharos.El Pesebre";"1.60636111";"-76.0955";8405;"SURCO2025";TRUE;"2012-04-27";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"2";"SURCO:301";"COLOMBIA";"CO";NA;"Municipio de Acevedo. Corredor Biologico Guacharos Purace";"1.61766667";"-76.10206389";7783;"SURCO2025";TRUE;"2024-10-24";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"3";"SURCO:290";"COLOMBIA";"CO";NA;"Municipio de Acevedo, Corredor biologico Guacharos Purace";"1.65365833";"-76.10732222";2579;"SURCO2025";TRUE;"2025-02-15";"change1: Trimmed whitespace in scientificName (and standardized blanks to NA) | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"4";"SURCO:300";"COLOMBIA";"CO";NA;"Municipio de Palestina, Vereda Villa del Macizo.Corredor biologico Guacharos Purace.";"1.65401667";"-76.18291667";9191;"SURCO2025";TRUE;"2024-10-22";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"5";"SURCO:399";"COLOMBIA";"CO";NA;"Municipio de Palestina, corredor biologico Guacharos Purace";"1.65828333";"-76.11061111";7174;"SURCO2025";TRUE;"2025-02-15";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"6";"SURCO:392";"COLOMBIA";"CO";NA;"Municipio de Palestina. Corredor Biologico Guacgharos Purace";"1.65913611";"-76.10023889";2490;"SURCO2025";TRUE;"2024-05-25";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"7";"SURCO:484";"COLOMBIA";"CO";NA;"Municipio de Palestina. Corredor Biologico Guacgharos Purace";"1.65913611";"-76.10023889";9477;"SURCO2025";TRUE;"2024-10-25";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"8";"SURCO:439";"COLOMBIA";"CO";NA;"Municipio de Palestina. Corredor Biologico Guacgharos Purace";"1.66074444";"-76.18469444";5753;"SURCO2025";TRUE;"2024-10-24";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"9";"SURCO:327";"COLOMBIA";"CO";NA;"Municipio de Palestina. Corredor Biologico Guacgharos Purace";"1.66186389";"-76.11061111";8775;"SURCO2025";TRUE;"2025-02-15";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"10";"SURCO:257";"COLOMBIA";"CO";NA;"Municipio de Pitalito, Vereda el Cedro (Bosque-reserva natural)";"1.66413056";"-76.22809444";362;"SURCO2025";TRUE;"2022-04-28";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"11";"SURCO:428";"COLOMBIA";"CO";NA;"Municipio de Acevedo, Corredor biologico Guacharos Purace";"1.67101944";"-76.105225";5006;"SURCO2025";TRUE;"2024-10-23";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
"12";"SURCO:603";"COLOMBIA";"CO";NA;"Municipio de Acevedo, Corredor biologico Guacharos Purace";"1.67101944";"-76.105225";3704;"SURCO2025";TRUE;"2024-10-24";"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]";TRUE;"Corrected: points were corrected according to locality"
