"","X","occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","ok.2","discardReason","georef_class"
"1",1,"assis_i_2026_specieslink_00001","Brazil","BR","Minas Gerais","Santo antonio do itambe. Parque estadual do pico do itambe. Trilha para o pico. Campo rupestre",-20.16972,-42.39028,250,"assis_i_2026_specieslink",TRUE,"2025-06-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"2",2,"assis_i_2026_specieslink_00002","Brazil","BR","Maranhao","Uema. Campus paulo vi",-2.953671892064,-44.807942040803,1200,"assis_i_2026_specieslink",TRUE,"2025-04-11","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"3",3,"assis_i_2026_specieslink_00003","Brazil","BR","Maranhao","Uema. Campus paulo vi",-2.953671892064,-44.807942040803,400,"assis_i_2026_specieslink",TRUE,"2025-02-24","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"4",4,"assis_i_2026_specieslink_00004","Brazil","BR","Parana","Jardim botanico de londrina. Area de visitacao do jardim. Proximo ao alambrado que da para a rua",-23.52594683332,-51.079956618676,400,"assis_i_2026_specieslink",TRUE,"2025-02-18","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"5",5,"assis_i_2026_specieslink_00005","Brazil","BR","Maranhao","Uema. Campus paulo vi",-2.953671892064,-44.807942040803,500,"assis_i_2026_specieslink",TRUE,"2025-02-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"6",6,"assis_i_2026_specieslink_00006","Brazil","BR","Sao Paulo","Costa machado. Cerca de 10 km de mirante do paranapanema em direcao a pirapozinho. Floresta estacional semidecidual com elementos de cerrado",-23.5523,-47.8344,600,"assis_i_2026_specieslink",TRUE,"2024-10-16","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","detailed"
"7",7,"assis_i_2026_specieslink_00007","Brazil","BR","Maranhao","Caranandiua",-1.479722,-46.128333,1200,"assis_i_2026_specieslink",TRUE,"2024-03-06","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",FALSE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality","simple"
"8",8,"assis_i_2026_specieslink_00008","Brazil","BR","Minas Gerais","Diamantina. Parque estadual do biribiri. Proximo a trilha do sentinela. Campo rupestre",-18.216517,-43.608206,600,"assis_i_2026_specieslink",TRUE,"2024-02-08","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",FALSE,"change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality","simple"
"9",9,"assis_i_2026_specieslink_00009","Brazil","BR","Parana","Fazenda do bule",-25.2857,-50.5194,1200,"assis_i_2026_specieslink",TRUE,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
"10",10,"assis_i_2026_specieslink_00010","Brazil","BR","Parana","Fazenda do bule",-25.2857,-50.5194,1800,"assis_i_2026_specieslink",TRUE,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality | Change: Coordinates corrected","simple"
