"","occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","ok.2","discardReason"
"1","assis_i_2026_specieslink_00001","Brazil","BR","Minas Gerais","Santo antônio do itambé. Parque estadual do pico do itambé. Trilha para o pico. Campo rupestre","-18.398056","-43.345",NA,"assis_i_2026_specieslink",TRUE,"2025-06-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"2","assis_i_2026_specieslink_00002","Brazil","BR","Maranhao","Uema. Campus paulo vi","-2.5825","-44.216389",NA,"assis_i_2026_specieslink",TRUE,"2025-04-11","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"3","assis_i_2026_specieslink_00003","Brazil","BR","Maranhao","Uema. Campus paulo vi","-2.575556","-44.21",NA,"assis_i_2026_specieslink",TRUE,"2025-02-24","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"4","assis_i_2026_specieslink_00004","Brazil","BR","Parana","Jardim botânico de londrina. Área de visitação do jardim. Próximo ao alambrado que dá para a rua","-23.363144","-51.174775",NA,"assis_i_2026_specieslink",TRUE,"2025-02-18","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"5","assis_i_2026_specieslink_00005","Brazil","BR","Maranhao","Uema. Campus paulo vi","-2.575556","-44.21",NA,"assis_i_2026_specieslink",TRUE,"2025-02-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"6","assis_i_2026_specieslink_00006","Brazil","BR","Sao Paulo","Costa machado. Cerca de 10 km de mirante do paranapanema em direção a pirapozinho. Floresta estacional semidecidual com elementos de cerrado","-22.279139","-51.800806",NA,"assis_i_2026_specieslink",TRUE,"2024-10-16","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"7","assis_i_2026_specieslink_00007","Brazil","BR","Maranhao","Caranandiua","-1.479722","-46.128333",NA,"assis_i_2026_specieslink",TRUE,"2024-03-06","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"8","assis_i_2026_specieslink_00008","Brazil","BR","Minas Gerais","Diamantina. Parque estadual do biribiri. Próximo à trilha do sentinela. Campo rupestre","-18.216517","-43.608206",NA,"assis_i_2026_specieslink",TRUE,"2024-02-08","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"9","assis_i_2026_specieslink_00009","Brazil","BR","Parana","Fazenda do bule","-23.405278","-51.325278",NA,"assis_i_2026_specieslink",TRUE,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
"10","assis_i_2026_specieslink_00010","Brazil","BR","Parana","Fazenda do bule","-23.405278","-51.325278",NA,"assis_i_2026_specieslink",TRUE,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]",TRUE,"change: stateProvince names corrected./ change: general corrections applied to locality change: general corrections applied to locality change: general corrections applied to locality"
