"occurrenceID","country","countryCode","stateProvince","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","datasetID",".ok_for_analysis","eventDate","changes","georef_class","ok.2","discardReason"
"carranza_av_2004_001","Argentina","AR","Jujuy","Potrero de Yala Provincial Park, Loza Hill",-24.0905667,-65.4740194,3205,"carranza_av_2004",TRUE,"1997-12-20","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_002","Argentina","AR","Jujuy","El Rodeo Lagoon",-24.1038583,-65.4776806,1728,"carranza_av_2004",TRUE,"1997-12-27","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","simple",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_003","Argentina","AR","Jujuy","Yala, Loza Hill",-24.1009722,-65.4765,2056,"carranza_av_2004",TRUE,"1998-01-16","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_004","Argentina","AR","Jujuy","Loza Hill, ascent after the landslide (Yala)",-24.1001861,-65.4759694,2158,"carranza_av_2004",TRUE,"1998-01-16","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_005","Argentina","AR","Jujuy","Loza Hill",-24.0917444,-65.4712917,3206,"carranza_av_2004",TRUE,"1998-01-30","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_006","Argentina","AR","Jujuy","Yala, El Rodeo Lagoon",-24.103525,-65.4754944,1873,"carranza_av_2004",TRUE,"1998-05-09","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","simple",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_007","Argentina","AR","Jujuy","Potrero de Yala Provincial Park, Laguna Hill",-24.1025167,-65.4841722,1653,"carranza_av_2004",TRUE,"1999-12-17","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_008","Argentina","AR","Jujuy","Yala, Laguna Hill",-24.1025167,-65.4841722,1653,"carranza_av_2004",TRUE,"1999-12-17","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_009","Argentina","AR","Jujuy","Yala, San Antonio Hill",-24.1110722,-65.4871806,692,"carranza_av_2004",TRUE,"2000-01-20","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","detailed",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
"carranza_av_2004_010","Argentina","AR","Jujuy","Yala, Los Noques Lagoon",-24.1185361,-65.4812694,517,"carranza_av_2004",TRUE,"2000-03-20","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset or locality; minimumElevationInMeters left as NA [2026-04-14] | No lifeForm information available in dataset; field created as NA [2026-04-14]","simple",TRUE,"corregido, se agregó la provincia (stateProvince) Jujuy, se tradujo locality al inglés y se calculó coordinateUncertaintyInMeters"
