"","species","input","matched_name","SYNONYM","contributor","review_flag","match_code","match_sim","SPECIES_NR","VALID_NR"
"1","acianthera adirii","acianthera adirii","Acianthera adiri","Accepted","GBIF2026","CHECK_fuzzy",2,0.966666666666667,15255,15255
"2","acianthera angustipetala","acianthera angustipetala","Acianthera angustisepala","Accepted","ATRIUM2017; CUZ2025","CHECK_fuzzy",2,0.952564102564102,55,55
"3","acianthera calopedilo","acianthera calopedilo","Acianthera calopedilon","Accepted","GBIF2026","CHECK_fuzzy",2,0.981818181818182,3227,3227
"4","acianthera klotzcheana","acianthera klotzcheana","Acianthera klotzschiana","Accepted","GBIF2026","CHECK_fuzzy",2,0.948484848484848,15615,15615
"5","acianthera sonderana","acianthera sonderana","Acianthera sonderiana","Accepted","GBIF2026","CHECK_fuzzy",2,0.98,15888,15888
"6","adelobotrys boissierianus","adelobotrys boissierianus","Adelobotrys boissieriana","Accepted","INABIOEC","CHECK_fuzzy",2,0.952564102564102,16044,16044
"7","adelobotrys linearifolius","adelobotrys linearifolius","Adelobotrys linearifolia","Accepted","HUA2025","CHECK_fuzzy",2,0.952564102564102,16054,16054
"8","adelobotrys marginatus","adelobotrys marginatus","Adelobotrys marginata","Accepted","HUA2025","CHECK_fuzzy",2,0.937777777777778,16057,16057
"9","adelobotrys rotundifolia","adelobotrys rotundifolia","Adelobotrys rotundifolius","Accepted","GUYN2008","CHECK_fuzzy",2,0.952564102564102,16063,16063
"10","adelobotrys spruceanus","adelobotrys spruceanus","Adelobotrys spruceana","Accepted","HUA2025","CHECK_fuzzy",2,0.937777777777778,16070,16070
"11","adiantum teratophyllum","adiantum teratophyllum","Adiantum tetraphyllum","Accepted","INABIOEC","CHECK_fuzzy",2,0.946153846153846,16107,16107
"12","aechmea aripoensis","aechmea aripoensis","Aechmea aripensis","Accepted","GBIF2026","CHECK_fuzzy",2,0.98,1923,1923
"13","aechmea brachystachya","aechmea brachystachya","Aechmea brachystachys","Accepted","INABIOEC","CHECK_fuzzy",2,0.969230769230769,16178,16178
"14","aechmea brevicolis","aechmea brevicolis","Aechmea brevicollis","Accepted","GUYN2008","CHECK_fuzzy",2,0.981818181818182,16197,16197
"15","aechmea correia-araujoi","aechmea correia-araujoi","Aechmea correia-arauji","Accepted","AssisI; GBIF2026; SEL2021","CHECK_fuzzy",2,0.986666666666667,16270,16270
"16","aechmea correiaaraujoi","aechmea correiaaraujoi","Aechmea correia-arauji","Accepted","ZizkaA","CHECK_fuzzy",2,0.971428571428571,16270,16270
"17","aechmea disticantha","aechmea disticantha","Aechmea distichantha","Accepted","GBIF2026","CHECK_fuzzy",2,0.946969696969697,16294,16294
"18","aechmea lamarckei","aechmea lamarckei","Aechmea lamarchei","Accepted","GBIF2026","CHECK_fuzzy",2,0.955555555555556,251,251
"19","aechmea leonardkentiana","aechmea leonardkentiana","Aechmea leonard-kentiana","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,16441,16441
"20","aechmea luddemanniana","aechmea luddemanniana","Aechmea lueddemanniana","Accepted","GBIF2026","CHECK_fuzzy",2,0.96043956043956,16455,16455
"21","aechmea lueddemaniana","aechmea lueddemaniana","Aechmea lueddemanniana","Accepted","CR2024","CHECK_fuzzy",2,0.962637362637362,16455,16455
"22","aechmea mariaereginae","aechmea mariaereginae","Aechmea mariae-reginae","Accepted","ZizkaA","CHECK_fuzzy",2,0.985714285714286,16486,16486
"23","aechmea matudai","aechmea matudai","Aechmea matudae","Accepted","HEM2025","CHECK_fuzzy",2,0.942857142857143,16495,16495
"24","aechmea melionii","aechmea melionii","Aechmea melinonii","Accepted","literature2021","CHECK_fuzzy",2,0.952777777777778,16499,16499
"25","aechmea polystachya","aechmea polystachya","Aechmea polystachia var. excavata","Synonym","BA2025; GBIF2026","CHECK_fuzzy",2,0.963636363636364,16297,16294
"26","aechmea robertoanselmoi","aechmea robertoanselmoi","Aechmea roberto-anselmoi","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,16653,16653
"27","aechmea robertoseidelii","aechmea robertoseidelii","Aechmea roberto-seidelii","Accepted","ZizkaA","CHECK_fuzzy",2,0.9875,16655,16655
"28","aechmea rodrigueziana","aechmea rodrigueziana","Aechmea rodriguesiana","Accepted","GBIF2026","CHECK_fuzzy",2,0.969230769230769,16660,16660
"29","aechmea tillandsiodes","aechmea tillandsiodes","Aechmea tillandsioides","Accepted","literature2021","CHECK_fuzzy",2,0.985714285714286,16724,16724
"30","aerangis collumcygni","aerangis collumcygni","Aerangis collum-cygni","Accepted","SEL2021","CHECK_fuzzy",2,0.983333333333333,16861,16861
"31","ananthacorus angustifolia","ananthacorus angustifolia","Ananthacorus angustifolius","Accepted","ATRIUM2017","CHECK_fuzzy",2,0.952564102564102,551,551
"32","andinia monstis-rotundi","andinia monstis-rotundi","Andinia montis-rotundi","Accepted","CAUP2023","CHECK_fuzzy",2,0.959444444444444,10770,10770
"33","andinia spilaris","andinia spilaris","Andinia spiralis","Accepted","CPUN2025","CHECK_fuzzy",2,0.970833333333333,81660,81660
