occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
AMAZ_1,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,R. Vásquez,Vásquez 7196,"Thomas B. Croat (MO),",H,AMAZ2024,1,Anthurium breviscapum,-4.25,-72.66666666666667,1986-02-21,"change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_2,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,D. Smith,Smith 8453,Thomas B. Croat (Mo),H,AMAZ2024,1,Anthurium breviscapum,-10.3,-75.16666666666667,1984-09-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_3,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,J. Lingán,Lingán 419,Thomas B. Croat (Mo),H,AMAZ2024,1,Anthurium amoenum,-10.166666666666666,-75.56666666666666,2003-04-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_4,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,R. Rojas,Rojas 554,,,AMAZ2024,1,Anthurium ancuashii,-5.056666666666667,-78.33805555555556,1997-11-08,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_5,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,D. Smith,Smith 3713,Thomas B. Croat (Mo),H,AMAZ2024,1,Anthurium apaporanum,-10.2,-75.23333333333333,1983-04-14,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_6,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,F. Ayala,Ayala 2485,,H,AMAZ2024,1,Anthurium atropurpureum,,,1979-12-13,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_7,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,H. Murphy,Murphy 22,,H,AMAZ2024,1,Anthurium atropurpureum,,,1981-07-18,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_8,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,P. Soini,Soini 156,,H,AMAZ2024,1,Anthurium atropurpureum,,,1981-12-02,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_9,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,F. Ayala,Ayala 3500,,H,AMAZ2024,1,Anthurium atropurpureum,,,1982-07-24,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_10,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,D. Smith,Smith 5931,,H,AMAZ2024,1,Anthurium atropurpureum,-11.266666666666667,-75.55,1984-01-28,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
AMAZ_11,PreservedSpecimen,Collection,,AMAZ,SPECIES,Angiosperms,M. Rimachi,Rimachi 11709,,H,AMAZ2024,1,Anthurium atropurpureum,,,1996-07-02,"change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
