occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
BAR2025_001,PreservedSpecimen,,,BAR,SPECIES,,A. E. McIntosh,1906,R. A. Howard,climber,BAR2025,0,,13.196627,-59.495377,,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_002,PreservedSpecimen,,,BAR,SPECIES,,C. M. Sean Carrington,SC1198,R. A. Howard,climber,BAR2025,0,,13.1335,-59.63142,1987-11-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_003,PreservedSpecimen,,,BAR,SPECIES,,C. M. S. Carrington,SC2016,D. H. Nicholson,herb,BAR2025,1,Anthurium cordatum,15.569245,-61.453462,2007-05-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_004,PreservedSpecimen,,,BAR,SPECIES,,C. M. S. Carrington,SC1989,D. H. Nicholson,herb,BAR2025,1,Anthurium dominicense,15.504305,-61.406038,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_005,PreservedSpecimen,,,BAR,SPECIES,,C. M. S. Carrington,SC1961,D. H. Nicholson,climber,BAR2025,1,Anthurium hookeri,15.504305,-61.406038,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_006,PreservedSpecimen,,,BAR,SPECIES,,C. M. S. Carrington,SC1969,D. H. Nicholson,climber,BAR2025,1,Anthurium hookeri,15.504305,-61.406038,2007-05-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_007,PreservedSpecimen,,,BAR,SPECIES,,S. Carrington,SC2390,S. Carrington,climber,BAR2025,1,Monstera adansonii,17.32623,-62.745875,2014-07-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_008,PreservedSpecimen,,,BAR,subspecies,,C. M. Sean Carrington,SC918,R. A. Howard,climber,BAR2025,1,Philodendron hederaceum,13.22604,-59.58043,1988-10-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_009,PreservedSpecimen,,,BAR,SPECIES,,C. M. Sean Carrington,SC1814,C. M. S. Carrington,climber,BAR2025,1,Philodendron lingulatum,13.179513,-59.574367,2004-06-15,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
BAR2025_010,PreservedSpecimen,,,BAR,SPECIES,,C. M. S. Carrington,SC2534,C. M. S. Carrington,herb,BAR2025,1,Catopsis floribunda,17.47528,-62.96498,2017-01-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
