occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,habitat,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
CPUN2025_0001,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega M.O. Dillon,8518,,Herb,,CPUN2025,1,Anthurium atropurpureum,-6.033333333,-77.05,1996-11-05,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0002,PreservedSpecimen,,,CPUN,species,,I. Sánchez vega M.O. Dillon,8129,,Herb,,CPUN2025,1,Anthurium breviscapum,,,1995-07-19,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0003,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega M.O. Dillon,8119,,E,,CPUN2025,1,Anthurium breviscapum,,,1995-07-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0004,PreservedSpecimen,,,CPUN,species,,L. Portal V. B. Pérez P.,126,,,,CPUN2025,1,Anthurium breviscapum,754786,-9307260,2005-10-15,"change1: Corrected longitude sign for Western Hemisphere (made negative). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0005,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega M.O. Dillon,8572,,,,CPUN2025,1,Anthurium clavigerum,-5.7,-77.4,1996-11-09,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0006,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega G. Iberico Vela R. Diéguez,9817,,E,,CPUN2025,1,Anthurium clavigerum,-6,-77.3,1999-06-21,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0007,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega M.O. Dillon,8059,,E,,CPUN2025,1,Anthurium clavigerum,,,1995-07-15,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0008,PreservedSpecimen,,,CPUN,species,,J. Cabanillas S.,269,,E,,CPUN2025,1,Anthurium coripatense,,,1986-07-22,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0009,PreservedSpecimen,,,CPUN,species,,I. Sánchez Vega M.O. Dillon,8415,,E,,CPUN2025,1,Anthurium coripatense,-5.9,-77.35,1996-11-01,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
CPUN2025_0010,PreservedSpecimen,,,CPUN,species,,M.O. Dillon I. Sánchez V. M. Sánchez M.,6329,,Herb,,CPUN2025,1,Anthurium coripatense,-6.490277778,-78.62361111,1993-04-17,"change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]"
