occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
EBUM2024:001,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Silvia García Martínez,88,Silvia García Martínez,,EBUM2024,1,Laelia autumnalis,19.72,-101.15861111,1985-10-27,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:002,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Xavier Madrigal Sánchez,4855,Irene Ávila Díaz,,EBUM2024,1,Barkeria uniflora,,,2003-10-26,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Standardized taxonRank to EN uppercase (Darwin Core). | change3: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:003,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Xavier Madrigal Sánchez,4297,Xavier Madrigal Sánchez,,EBUM2024,1,Peperomia tetraphylla,18.79027778,-110.96777778,1989-05-19,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:004,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Laura Torres Rodríguez,727,Laura Torres Rodríguez,,EBUM2024,1,Rhynchostele cervantesii,19.76694444,-102.39166667,1990-05-05,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:005,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Laura Torres Rodríguez,627,Laura Torres Rodríguez,,EBUM2024,1,Rhynchostele cervantesii,19.76666667,-102.39083333,1990-05-05,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:006,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Laura Torres Rodríguez,627,Laura Torres Rodríguez,,EBUM2024,1,Rhynchostele cervantesii,19.76666667,-102.39138889,1990-05-05,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:007,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Laura Torres Rodríguez,867,Laura Torres Rodríguez,,EBUM2024,1,Rhynchostele cervantesii,19.76444444,-102.39416667,1991-02-22,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:008,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Consuelo Medina García,1278,Consuelo Medina García,,EBUM2024,1,Prosthechea michuacana,19.64416667,-101.13305556,1988-07-31,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:009,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Jerzy Rzedowski Rotter,40219,Sergio Zamudio Ruíz,,EBUM2024,1,Prosthechea pastoris,19.41805556,-101.75,1986-08-03,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
EBUM2024:010,PreservedSpecimen,,,"EBUM Facultad de Biología, UMSNH",SPECIES,Michoacán de Ocampo,Eustolia García López; Emmanuel Pérez Calix,3179,Emmanuel Pérez Calix,,EBUM2024,2,Homalopetalum pachyphyllum,19.54666667,-102.03916667,1990-09-05,"change1: Standardized taxonRank to EN uppercase (Darwin Core). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No lifeForm information available or recoverable from text fields; lifeForm left as NA [2026-04-14]"
