occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HEM2025_0001,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,M.M.I. & L.D.L.R. & H.C.O. & C.S.R.,201,M.M.I.,NV,HEM2025,0,,16.5566666666667,-92.0861111111111,1995-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0002,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,J.M.M.,1135,J.M.M.,HE,HEM2025,0,,15.8063333333333,-92.9828333333333,2005-08-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0003,PreservedSpecimen,Colección,,UNICACH,GENUS,HEM,M.A. Pérez-Farrera,2568,M.E.L.M.,HE,HEM2025,,,15.7769444444444,-93.09,2001-07-18,"change1: Genus placeholder (sp./spp.): moved to 'genus', set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0004,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,P.J.S. & R.J.H. & A.R.G. & M.H.,260,ND,HE,HEM2025,0,,15.3127777777778,-92.2347222222222,1990-02-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0005,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,P.J.S. & R.J.H. & A.R.G. & M.H.,282,T.B.C.,HE,HEM2025,1,Anthurium andicola,15.3127777777778,-92.2347222222222,1990-02-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0006,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,N.M.M.,562,M.A. Pérez-Farrera,HE,HEM2025,1,Anthurium andicola,15.6608333333333,-92.8275,2004-11-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0007,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,H.G.D.,1030,H.G.D.,HE,HEM2025,1,Anthurium andicola,15.5991388888889,-92.6927777777778,2005-06-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0008,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,F.E.P.C.,128,F.E.P.C.,HE,HEM2025,1,Anthurium andicola,15.8244444444444,-93.0630555555556,1999-02-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0009,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,J.C.R.,176,M.A. Pérez-Farrera,HE,HEM2025,1,Anthurium andicola,15.8505555555556,-93.2016666666667,1999-11-17,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HEM2025_0010,PreservedSpecimen,Colección,,UNICACH,SPECIES,HEM,N.M.M.,25,M.A. Pérez-Farrera,HE,HEM2025,1,Anthurium andicola,15.7344444444444,-92.9341666666667,2001-03-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
