occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HGOM2025_0001,PreservedSpecimen,,,Herbario Facultad de Ciencias U.N.A.M.,GENUS,,"Reyes, Felipe Aguilar",s/n,,E,HGOM2025,,,21.02833333,-98.64194444,2001-03-20,"change1: Canonicalized scientificName to binomial and moved trailing authorship. | change2: Genus-only but taxonRank=SPECIES → moved genus token, set taxonRank=GENUS, cleared scientificName; kept original in verbatim. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0002,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Gutierrez, Marisol Lozano",MGL 93,,E,HGOM2025,1,Hymenophyllum ectocarpon,20.41388889,-98.24,2013-07-10,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0003,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Serrano, Hector Martinez",HSM151,"Serrano, Hector Martinez",E,HGOM2025,1,Pleopeltis guttata,20.18681944,-98.71203056,2009-05-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0004,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Ramirez, Said Cruz",211,"Tejero, Daniel Diez",E,HGOM2025,1,Pleopeltis guttata,20.91086111,-99.328,2006-03-18,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0005,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Ramirez, Said Cruz",207,"Tejero, Daniel Diez",E,HGOM2025,1,Pleopeltis guttata,20.84038889,-99.317825,2006-05-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0006,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Ramirez, Said Cruz",209,"Tejero, Daniel Diez",E,HGOM2025,1,Pleopeltis guttata,20.88661111,-99.20308333,2005-11-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0007,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Sanchez, Arturo Gonzales",ASG 4204,"Perez, Yarely Atilano",E,HGOM2025,1,Pleopeltis guttata,20.68166667,-99.14558333,2010-09-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0008,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Hernandez, Adriana G. Alvarez",AGHA 58,,E,HGOM2025,1,Trichomanes capillaceum,20.98005556,-98.51641667,2013-07-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0009,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Sanchez, Arturo Gonzales",ASG 4436,"Gutierrez, Marisol Lozano",E,HGOM2025,1,Trichomanes capillaceum,20.32716944,-98.24919444,2011-11-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
HGOM2025_0010,PreservedSpecimen,,,HGOM- Herbario del Centro de Investigaciones Biologicas,SPECIES,,"Sanchez, Arturo Gonzales",7,"Perez, Arlen Perez",E,HGOM2025,1,Pleopeltis fallax,20.38469444,-98.19061111,2008-12-02,"change1: Canonicalized scientificName to binomial and moved trailing authorship. | change2: Fixed capitalization: ensured 'Genus epithet' with lowercase epithet. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
