occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HIP2025_0001,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,4414,Edmundo Pisano,NV,HIP2025,0,,-53.2167,-73.2333,27452,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0002,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,3963,C. Marticorena,NV,HIP2025,0,,-53.80466,-71.02146,26720,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0003,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Jenny Davison,G 71,C. Marticorena,NV,HIP2025,0,,-47,-73.25,26296,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0004,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,Edmundo Pisano,3335,C. Marticorena,NV,HIP2025,0,,-54.25278,-70.99653,26280,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0005,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,T.R. Dudley; R.N.P. Goodall; G. Crow,459,T.R. Dudley,NV,HIP2025,0,,-54.8,-64.6833333,26223,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0006,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,T.R. Dudley; R.N.P. Goodall; G. Crow,777,T.R. Dudley,NV,HIP2025,0,,-54.7666667,-64.1666667,26228,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0007,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,T.R. Dudley; R.N.P. Goodall; G. Crow,1307,R.N.P. Goodall,NV,HIP2025,0,,-54.8333333,-64.4,26239,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0008,PRESERVED_SPECIMEN,,,HIP,SPECIES,Herbarium,"Adams, W; Andrews-Speed, P",B 14,Edmundo Pisano,NV,HIP2025,0,,-55.08333333,-68.9666667,28164,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0009,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1937,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.4166667,-73.0666667,28148,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
HIP2025_0010,PRESERVED_SPECIMEN,,Boelcke et al. 1985,HIP,SPECIES,Herbarium,Transecta BotÃ¡nica de la Patagonia Austral,1560,Transecta BotÃ¡nica de la Patagonia Austral,NV,HIP2025,0,,-51.45,-73.3,28135,change1: Moved authorship out of scientificName into scientificNameAuthorship; kept binomial. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
