occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,habitat,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
HUAA2024_0001,PreservedSpecimen,,,UAA,SPECIES,HUAA,Julio Martínez-Ramírez,583,Julio Martínez-Ramírez,E,Cañada.,HUAA2024,1,Tillandsia recurvata,21.549167,-102.762222,2006-04-08,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0002,PreservedSpecimen,,,UAA,SPECIES,HUAA,Julio Martínez-Ramírez,797,Julio Martínez-Ramírez,E,,HUAA2024,1,Tillandsia atroviridipetala,21.5644,-102.7777,2011-08-19,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0003,PreservedSpecimen,,,UAA,SPECIES,HUAA,Julio Martínez-Ramírez y G. Ocampo,3042,Julio Martínez-Ramírez,E,,HUAA2024,1,Tillandsia atroviridipetala,21.723497,-102.643509,2011-11-25,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0004,PreservedSpecimen,,,UAA,SPECIES,HUAA,Julio Martínez-Ramírez con G. Ocampo,3679,Julio Martínez-Ramírez,E,,HUAA2024,1,Tillandsia achyrostachys,21.8441,-102.82009,1994-11-22,"change1: Trimmed whitespace in verbatimScientificName. | change2: Set taxonRank=SPECIES from binomial scientificName. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change4: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0005,PreservedSpecimen,,,UAA,SPECIES,HUAA,Julio Martínez-Ramírez con G. Ocampo,3680,Julio Martínez-Ramírez,E,,HUAA2024,1,Tillandsia makoyana,21.8441,-102.82009,1986-10-01,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0006,PreservedSpecimen,,,UAA,SPECIES,HUAA,S. González,5165,J. García Cruz,E,,HUAA2024,1,Alamania punicea,22.959444,-104.631944,1994-11-09,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0007,PreservedSpecimen,,,UAA,SPECIES,HUAA,L.F. Colin-Nolasco,597,M. Sundue y L.F. Colin-Nolasco,E,,HUAA2024,1,Grammitis limula,9.60277778,-83.7625,2013-01-17,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0008,PreservedSpecimen,,,UAA,SPECIES,HUAA,L.F. Colin-Nolasco,613c,M. Sundue y L.F. Colin-Nolasco,H,,HUAA2024,1,Polybotrya osmundacea,10.43333333,-83.98333333,2013-01-20,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0009,PreservedSpecimen,,,UAA,SPECIES,HUAA,Brigada Dorantes,2569,R. Riva,E,,HUAA2024,1,Huperzia taxifolia,17,-94.58333333,1974-03-15,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
HUAA2024_0010,PreservedSpecimen,,,UAA,SPECIES,HUAA,Juan Ismael Calzada,22515,"G. Carnevali, 2007",,,HUAA2024,1,Prosthechea chondylobulbon,17.20155278,-98.08675,2014-07-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change3: Standardized country to Darwin Core name: 'México' -> 'MEXICO'. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-16] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16] | Filled eventDate/year from Fecha.de.colecta and lifeForm from Observaciones.de.colecta [2026-04-16]"
