occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,habitat,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
ISV2025_0001,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7034,,E,Bosque montano húmedo,ISV2025,,,,,2021-08-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0002,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7033,,Herb,Bosque montano húmedo,ISV2025,,,,,2021-08-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0003,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7041,,E,Bosque montano húmedo,ISV2025,,,,,2021-08-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0004,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7048,,E,Bosque montano húmedo,ISV2025,,,-6.1062410210525355,-83.41865370221937,2019-08-18,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0005,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7062 A,,,Matorral esclerófilo,ISV2025,,,,,2012-08-20,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0006,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7420,,E,Páramo,ISV2025,,,,,2012-08-31,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0007,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7380,,E,Páramo,ISV2025,,,-6.1375940794480925,-83.48980715490846,2012-08-28,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0008,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7430,,E,Páramo,ISV2025,,,,,2012-08-31,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0009,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7377,,,Páramo,ISV2025,,,-6.1375940794480925,-83.48980715490846,2012-08-28,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0010,PreservedSpecimen,,,ISV,GENUS,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7379,,E,Páramo,ISV2025,,,-6.1375940794480925,-83.48980715490846,2012-08-29,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | change2: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change3: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0011,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7130,,Herb,Páramo,ISV2025,,,,,2012-08-24,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0012,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7359,,E,Páramo,ISV2025,,,-6.136361238340051,-83.48087093063961,2012-08-28,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0013,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7148,,Herb,Páramo,ISV2025,,,,,2012-08-24,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0014,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7149,,Herb,Páramo,ISV2025,,,,,2012-08-24,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0015,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7296,,E,Páramo,ISV2025,,,,,2012-08-26,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0016,PreservedSpecimen,,,ISV,GENUS,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7297,,E,Páramo,ISV2025,,,,,2012-08-26,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0017,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7295,,E,Páramo,ISV2025,,,,,2012-08-26,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0018,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7087,,E,Matorral esclerófilo,ISV2025,,,-6.102888994752723,-83.41838582808714,2012-09-20,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0019,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7086,,E,Matorral esclerófilo,ISV2025,,,-6.102888994752723,-83.41838582808714,2012-09-20,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0020,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7085,,,Matorral esclerófilo,ISV2025,,,-6.102888994752723,-83.41838582808714,2012-09-20,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0021,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7090,,E,Matorral esclerófilo,ISV2025,,,-6.102888994752723,-83.41838582808714,2012-09-20,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0022,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7079,,,Matorral esclerófilo,ISV2025,,,-6.102888994752723,-83.41838582808714,2012-09-20,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0023,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña; M. La Torre; J. Barrios; M. Tenorio; L. Adrianzén.,2137 A,,,Páramo,ISV2025,,,-5.237469626830111,-79.27728057999425,2012-07-21,"change1: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change2: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32717 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0024,PreservedSpecimen,,,ISV,GENUS,,Manuel Silva,198-MS,,Herb,,ISV2025,,,-10.468766080634149,-74.91210293501776,2010-03-17,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | change2: Detected swapped UTM naming (latitudeUTM=N/E mix). Interpreted latitudeUTM as Easting and longitudeUTM as Northing. | change3: Filled decimalLatitude/decimalLongitude from UTM via EPSG:32718 (auto). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0025,PreservedSpecimen,,,ISV,GENUS,,J. C. Rios Quispe; J. A. Quintana Serrano; J. Rodas,388,,,Bosque húmedo,ISV2025,,,,,,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0026,PreservedSpecimen,,,ISV,FAMILY,,J. C. Rios Quispe; J. A. Quintana Serrano; J. Rodas,290,,,Bosque húmedo,ISV2025,,,,,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0027,PreservedSpecimen,,,ISV,SPECIES,,J. C. Rios Quispe; J. A. Quintana Serrano; J. Rodas,112,,,Bosque húmedo,ISV2025,0,,,,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0028,PreservedSpecimen,,,ISV,FAMILY,,J. C. Rios Quispe; J. A. Quintana Serrano; J. Rodas,386,,Herb,Bosque húmedo,ISV2025,,,,,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0029,PreservedSpecimen,,,ISV,FAMILY,,J. C. Rios Quispe; J. A. Quintana Serrano; J. Rodas,345,,Herb,Bosque húmedo,ISV2025,,,,,,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0030,PreservedSpecimen,,,ISV,FAMILY,,J.L. Marcelo-Peña & A. Daza.,6074,,Herb,Bosque estacionalmente seco,ISV2025,,,,,2011-09-18,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
ISV2025_0031,PreservedSpecimen,,,ISV,GENUS,,J.L. Marcelo-Peña; R. Fernandez Hilario; X. Tagle Casapía; J. Santos Santillan.,7308,,Herb,Páramo,ISV2025,,,,,2012-08-26,"change1: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
