occurrenceID,basisOfRecord,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
002617,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",145,"Lellinger, David Bruce",E,LP2025,1,Asplenium maxonii,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002618,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",329,"Lellinger, David Bruce",H,LP2025,1,Asplenium maxonii,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002633,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",376,"Lellinger, David Bruce",E,LP2025,3,Elaphoglossum laxepaleaceum,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002637,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",425,"Lellinger, David Bruce",E,LP2025,1,Hymenophyllum mortonianum,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002638,PreservedSpecimen,,LP,SPECIES,Herbario,"Venturi, Santiago",2955,"Rolleri, Cristina H.",E,LP2025,3,Huperzia selago,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002645,PreservedSpecimen,,LP,SPECIES,Herbario,"de la Sota, Elías Ramón",6388,"de la Sota, Elías Ramón",E,LP2025,1,Microgramma mortoniana,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002648,PreservedSpecimen,,LP,SPECIES,Herbario,"Rodrigo, A.P.",2227,"de la Sota, Elías Ramón",E,LP2025,1,Microgramma mortoniana,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002650,PreservedSpecimen,,LP,SPECIES,Herbario,"Cabrera, Angel Lulio",1506,"de la Sota, Elías Ramón",E,LP2025,1,Microgramma mortoniana,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002658,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",195,"de la Sota, Elías Ramón",E,LP2025,1,Oleandra zapatana,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
002659,PreservedSpecimen,,LP,SPECIES,Herbario,"Lellinger, David Bruce, de la Sota, Elías Ramón",300,"de la Sota, Elías Ramón",E,LP2025,1,Oleandra zapatana,,,,"Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | Filled country from countryCode (ISO2) [2026-04-14] | Added coordinates from geocoding (OSM) for 1 record; high uncertainty assigned [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | No elevation information available in dataset (verbatimElevation, locality); field left as NA [2026-04-14] | No event date information available in dataset; eventDate and year left as NA [2026-04-14] | No temporal information available; eventDate and year left as NA [2026-04-14]"
