occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
UIS:Herbario:17013,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),GENUS,UIS-H,César Marín,4115,Jorge Meza-Ortiz (UIS),Arbusto,UIS2024,,,6.674914,-73.441306,2010-02-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21490,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,César Marín,4115,Pedro Cáceres,Arbusto,UIS2024,0,,6.6695,-73.441306,2012-02-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:21997,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Castaño Felipe | |Maria F. Suárez | Esudiantes Biología UIS,2176,Felipe Castaño,,UIS2024,,,6.172724,-73.426259,2018-04-07,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:06075,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Bruce A. Stein,3604,W. D. Stevens,,UIS2024,0,,7.133333,-73.05,1986-03-05,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09798,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),FORM,UIS-H,Gentry Alwin,20001,Al Gentry,,UIS2024,0,,6.672207,-73.924144,1977-09-29,"change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Corrected taxonRank (SPECIES→FORM); kept scientificName as-is. | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:05674,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Diaz G.,48,Thomas Croat,,UIS2024,1,Anthurium obtusum,6.90946,-73.06517,1984-04-16,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09239,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Prieto A.,340,Thomas Croat,,UIS2024,1,Philodendron kroemeri,6.78869,-73.32635,1994-08-03,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:09451,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,H. E. García,2799,T. Croat,,UIS2024,1,Anthurium obtusum,6.102694,-73.222444,1995-09-06,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:13987,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Gentry Alwin,20052,T. B. Croat,,UIS2024,1,Thaumatophyllum solimoesense,6.672207,-73.924144,1977-09-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14502,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Pérez Zully; Vergel Efrain; Cadena Jose; Pérez Leydy; Ortiz Richard,55,Thomas B. Croat. (MO),,UIS2024,1,Anthurium crassinervium,8.222624,-73.246657,2001-01-25,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14675,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,"Dueñas Ariel, et al.",327,Thomas B. Croat. (MO),,UIS2024,1,Anthurium obtusum,8.804255,-73.243162,2005-03-27,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:14696,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Prieto A.; Rudas A.,429,Thomas B. Croat. (MO),,UIS2024,1,Anthurium nigrescens,7.65,-73.183333,1996-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
UIS:Herbario:15803,PreservedSpecimen,,,Universidad Industrial de Santander (UIS),SPECIES,UIS-H,Betancur Julio; Castaño N.; Clavijo L.; Galeano G.; García N.,9321,Galeano P.,,UIS2024,1,Anthurium obtusum,6.173947,-73.432823,2001-07-29,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
