occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
assis_i_2026_diagonal_00001,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Epidendrum denticulatum,-22.513173,-47.773567,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00002,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Ionopsis utricularioides,-22.513173,-47.773567,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00003,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Laelia gloriosa,-22.513173,-47.773567,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00004,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Rodriguezia decora,-22.513173,-47.773567,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00005,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Trichocentrum pumilum,-22.513173,-47.773567,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00006,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Bulbophyllum chloroglossum,-22.551673,-47.910372,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00007,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Catasetum fimbriatum,-22.551673,-47.910372,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00008,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Cattleya cernua,-22.551673,-47.910372,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00009,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Epidendrum denticulatum,-22.551673,-47.910372,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
assis_i_2026_diagonal_00010,MaterialCitation,,"Orchidaceae na região central de São Paulo, Brasil",,SPECIES,,,,,E,assis_i_2026_diagonal,1,Epidendrum denticulatum,-22.551673,-47.910372,,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]"
