occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
PERE2025_001,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,3,Demosthenesia mandonii,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_002,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Grammitis moniliformis,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_003,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Epidendrum soratae,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_004,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Grammitis athyrioides,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_005,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,3,Demosthenesia mandonii,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_006,LivingSpecimen,,,,GENUS,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,,,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_007,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Grammitis moniliformis,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_008,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Grammitis athyrioides,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_009,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,3,Demosthenesia mandonii,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PERE2025_010,LivingSpecimen,,,,SPECIES,,,,"Edith Rosario Clemente Arenas, Edison Quispe",E,bertelmann_h_2025_PERE,1,Grammitis moniliformis,-13.099183,-71.626935,2025-04-21,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
