occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
carranza_av_2023_001,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Rodriguez Lagoria, G. H. | Sato, H. A. | Paco, N. V.",JUA:10708,"Pérez Pizá, M. C.",,carranza_av_2023,1,Peperomia theodori,-23.69995,-64.8707667,2006-12-08,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_002,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Rodriguez Lagoria, G. H. | Sato, H. A. | Paco, N. V.",JUA:10705,"Pérez Pizá, M. C.",,carranza_av_2023,1,Peperomia tetraphylla,-23.7002778,-64.8725,2006-03-04,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_003,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Rodriguez Lagoria, G. H. | Sato, H. A. | Paco, N. V.",JUA:368,"Ganem, M. A.",,carranza_av_2023,1,Pleopeltis macrocarpa,-23.6666667,-64.8833333,2006-12-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_004,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Armella, L. | Sato, H. | Paco, N. V.",JUA:14165,"Donadío, S.",,carranza_av_2023,1,Tillandsia didisticha,-23.8980556,-64.9402778,2009-03-03,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_005,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Paco, N. V.",JUA:14190,"Donadío, S.",,carranza_av_2023,1,Tillandsia spiralipetala,-23.7666667,-64.85,2009-11-05,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_006,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Armella, L. | Maldonado, M. J.",JUA:14191,"Donadío, S.",,carranza_av_2023,1,Tillandsia spiralipetala,-23.6269444,-64.5858333,2010-09-10,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_007,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Mendoza, J. | Aguanta, E. | Fuentes, E. | Fochi, M. F.",JUA:14172,"Donadío, S.",,carranza_av_2023,1,Tillandsia lorentziana,-23.7875,-64.8,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_008,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Mendonza, L. | Movia, C.",JUA:14173,"Donadío, S.",,carranza_av_2023,1,Tillandsia lorentziana,-23.7875,-64.8,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_009,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Mendoza, J. | Fochi, E. | Aguanta, E.",JUA:14192,"Donadío, S.",,carranza_av_2023,1,Tillandsia spiralipetala,-23.7558333,-64.8486111,2013-10-12,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_010,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Mendoza, J. | Aguanta, E. | Fuentes, E. | Fochi, M. F.",JUA:14186,"Donadío, S.",,carranza_av_2023,1,Tillandsia tenuifolia,-23.6863889,-64.8816667,2013-10-13,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_011,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Echenique, P. | Aguanta, E. | Fuentes, E. | Toscano, C. B.",JUA:14194,"Donadío, S.",,carranza_av_2023,1,Tillandsia spiralipetala,-23.6458333,-64.5986111,2013-12-26,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_012,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Echenique, P. | Aguanta, E. | Fuentes, E. | Toscano, C. B.",JUA:14193,"Donadío, S.",,carranza_av_2023,1,Tillandsia spiralipetala,-23.6441667,-64.5927778,2014-10-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
carranza_av_2023_013,PreservedSpecimen,PhysicalObject,,JUA,SPECIES,,"Carranza, A. V. | Echenique, P. | Aguanta, E. | Fuentes, E. | Toscano, C. B.",JUA:14169,"Donadío, S.",,carranza_av_2023,1,Tillandsia loliacea,-23.6311111,-64.6005556,2014-10-11,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28]"
