occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
gallegos_s_2025_00001,PreservedSpecimen,Colección,,LPB,SPECIES,,"López, C.",SG2025_CLA748,"Jimenez, I.",E,gallegos_s_2025,1,Anthurium scandens,-16.409888888888887,-67.56608333333332,2021-09-22,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00002,PreservedSpecimen,Colección,,LPB,SPECIES,,"Mayta, C.",SG2025_CMR162,"Jimenez, I.",E,gallegos_s_2025,1,Pleurothallis vorator,-16.391383333333334,-67.5634,2021-05-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00003,PreservedSpecimen,Colección,,LPB,SPECIES,,"Mayta, C.",SG2025_CMR1151,"Jimenez, I.",E,gallegos_s_2025,1,Maxillaria aurea,-16.411583333333333,-67.56968333333333,2021-08-14,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00004,PreservedSpecimen,Colección,,LPB,SPECIES,,"Mayta, C.",SG2025_CMR1321,"Jimenez, I.",E,gallegos_s_2025,1,Pleopeltis fraseri,-16.35375,-67.51875,2021-08-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00005,PreservedSpecimen,Colección,,LPB,SPECIES,,"Mayta, C.",SG2025_CMR1394,"Jimenez, I.",E,gallegos_s_2025,1,Maxillaria graminifolia,-16.35375,-67.51875,2021-08-14,"change1: Hybrid detected: removed ×/x and reduced to binomial when possible | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00006,PreservedSpecimen,Colección,,LPB,SPECIES,,"Mayta, C.",SG2025_CMR1491,"Jimenez, I.",E,gallegos_s_2025,1,Elaphoglossum bellermannianum,-16.35375,-67.51875,2021-08-14,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00007,PreservedSpecimen,Colección,,LPB,FAMILY,,"Mayta, C.",SG2025_CMR2055,,E,gallegos_s_2025,,,-16.4108,-67.56013333333333,2022-02-16,"change1: Cleared scientificName (not strict binomial) | change2: Normalized/filled taxonRank without overwriting existing non-empty values | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00008,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5231,"Jimenez, I.",E,gallegos_s_2025,1,Serpocaulon levigatum,-16.332444444444445,-67.49197222222222,2021-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00009,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5242,"Hurtado, R.",E,gallegos_s_2025,1,Peperomia brevispica,-16.33367222222222,-67.49650555555556,2021-03-23,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
gallegos_s_2025_00010,PreservedSpecimen,Colección,,LPB,SPECIES,,"Gallegos, S.",SG2025_SGA5266,"Jimenez, I.",E,gallegos_s_2025,,,-16.341702777777776,-67.4957388888889,2021-03-27,"change1: Cleared scientificName (not strict binomial) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | EpIG backbone match, accepted name update, and taxonomy fill [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-04-14] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]"
