occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
338004330,HumanObservation,,,,species,,,,Kevin Faccenda,,iNat2026,1,Peperomia tetraphylla,21.3057837848,-157.7529627433,2026-02-06,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
338004321,HumanObservation,,,,species,,,,Kevin Faccenda,,iNat2026,1,Peperomia blanda,21.3077290702,-157.7554482941,2026-02-06,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337936880,HumanObservation,,,,species,,,,Quentin Groom,,iNat2026,1,Peperomia pellucida,16.7274204105,-62.2129017598,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337911619,HumanObservation,,,,species,,,,Alan Weakley,,iNat2026,1,Peperomia urvilleana,-40.8521788055,174.9299581471,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337907620,HumanObservation,,,,species,,,,,,iNat2026,1,Peperomia leptophylla,16.7595783333,-92.632705,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337836090,HumanObservation,,,,species,,,,,,iNat2026,1,Peperomia urvilleana,-36.9177023937,174.4697056562,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337784447,HumanObservation,,,,species,,,,Tanya Zubakin,,iNat2026,1,Peperomia tetraphylla,-28.2043444444,153.1881305556,2026-02-08,change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337773138,HumanObservation,,,,species,,,,Tarkus,,iNat2026,1,Peperomia tetraphylla,24.8171920776,103.3257827759,2026-02-08,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337754673,HumanObservation,,,,species,,,,John D Reynolds,,iNat2026,1,Peperomia hernandiifolia,10.302071,-84.790367,2026-01-23,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337747384,HumanObservation,,,,species,,,,Brody McAllister,,iNat2026,1,Peperomia hernandiifolia,10.3050788253,-84.7996306222,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337744972,HumanObservation,,,,species,,,,Andres Vila,,iNat2026,1,Peperomia humilis,26.0825816401,-81.4309147454,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337744414,HumanObservation,,,,species,,,,Andres Vila,,iNat2026,1,Peperomia humilis,26.065822678,-81.466342417,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337743179,HumanObservation,,,,species,,,,Adrian Alvarez,,iNat2026,1,Peperomia alata,26.1228805668,-81.4648677515,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337743121,HumanObservation,,,,species,,,,Adrian Alvarez,,iNat2026,1,Peperomia alata,26.062539464,-81.4903734139,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337742774,HumanObservation,,,,species,,,,Adrian Alvarez,,iNat2026,1,Peperomia humilis,26.1404236586,-81.456676391,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337742610,HumanObservation,,,,species,,,,Adrian Alvarez,,iNat2026,1,Peperomia humilis,26.0463748633,-81.4765585107,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
337640102,HumanObservation,,,,species,,,,,,iNat2026,1,Peperomia urvilleana,-35.3788825434,173.6039088294,2026-02-07,epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11]
