occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
kessler_m_2021b_00001,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Polypodium plesiosorum,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00002,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Campyloneurum angustifolium,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00003,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Serpocaulon triseriale,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00004,PreservedSpecimen,,,,VARIETY,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Pleopeltis minima,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00005,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Phlebodium areolatum,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00006,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Pleopeltis sanctae-rosae,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00007,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Polypodium fraternum,14.5642204707926,-88.6299735045563,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00008,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Pleopeltis astrolepis,14.5646009481078,-88.6311455618522,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00009,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Campyloneurum crassifolium,14.5646009481078,-88.6311455618522,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
kessler_m_2021b_00010,PreservedSpecimen,,,,SPECIES,,"Reyes-Chavez, J.",,J.Reyes,,kessler_m_2021b,1,Pecluma alfredii,14.5646009481078,-88.6311455618522,,"change1: Constructed scientificName from genus + epithet. | change2: Filled verbatimScientificName once from original scientificName | change3: Normalized/filled taxonRank without overwriting existing non-empty values | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-16]"
