"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimrecordedBy","verbatimrecordNumber","verbatimidentifiedBy"
"1","AMAZ_1","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Vasquez, R.","Vasquez 7196","Croat, T.B.","H","AMAZ2024",1,"Anthurium breviscapum",-4.25,-72.6666666666667,"1986-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","accents and special characters corrected in recordNumber / standardized author names and accents corrected in recordedBy","R. Vásquez","Vásquez 7196","Croat, T.B."
"2","AMAZ_2","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Smith, D.","Smith 8453","Croat, T.B.","H","AMAZ2024",1,"Anthurium breviscapum",-10.3,-75.1666666666667,"1984-09-13","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","D. Smith","Smith 8453","Croat, T.B."
"3","AMAZ_3","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Lingan, J.","Lingan 419","Croat, T.B.","H","AMAZ2024",1,"Anthurium amoenum",-10.1666666666667,-75.5666666666667,"2003-04-14","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","accents and special characters corrected in recordNumber / standardized author names and accents corrected in recordedBy","J. Lingán","Lingán 419","Croat, T.B."
"4","AMAZ_4","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Rojas, R.","Rojas 554","","","AMAZ2024",1,"Anthurium ancuashii",-5.05666666666667,-78.3380555555556,"1997-11-08","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","R. Rojas","Rojas 554",""
"5","AMAZ_5","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Smith, D.","Smith 3713","Croat, T.B.","H","AMAZ2024",1,"Anthurium apaporanum",-10.2,-75.2333333333333,"1983-04-14","change1: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","D. Smith","Smith 3713","Croat, T.B."
"6","AMAZ_6","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Ayala, F.","Ayala 2485","","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1979-12-13","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","F. Ayala","Ayala 2485",""
"7","AMAZ_7","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Murphy, H.","Murphy 22","","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1981-07-18","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","H. Murphy","Murphy 22",""
"8","AMAZ_8","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Soini, P.","Soini 156","","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1981-12-02","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","P. Soini","Soini 156",""
"9","AMAZ_9","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Ayala, F.","Ayala 3500","","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1982-07-24","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","F. Ayala","Ayala 3500",""
"10","AMAZ_10","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Smith, D.","Smith 5931","","H","AMAZ2024",1,"Anthurium atropurpureum",-11.2666666666667,-75.55,"1984-01-28","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","D. Smith","Smith 5931",""
"11","AMAZ_11","PreservedSpecimen","Collection",NA,"AMAZ","SPECIES","Angiosperms","Rimachi, M.","Rimachi 11709","","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1996-07-02","change1: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","M. Rimachi","Rimachi 11709",""
"12","AMAZ_12","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Croat, T.","Croat 61761","Croat, T.B.","H","AMAZ2024",1,"Anthurium atropurpureum",-3.4,-72.8166666666667,"1986-07-25","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","T. Croat","Croat 61761","Croat, T.B."
"13","AMAZ_13","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Gentry, A.","Gentry 15782","Croat, T.B.","H","AMAZ2024",1,"Anthurium atropurpureum",-3.881106,-73.530028,"1976-01-10","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","A. Gentry","Gentry 15782","Croat, T.B."
"14","AMAZ_14","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Gentry, A.","Gentry 15510","Croat, T.B.","H","AMAZ2024",1,"Anthurium atropurpureum",-3.829737,-73.323369,"1976-01-03","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","A. Gentry","Gentry 15510","Croat, T.B."
"15","AMAZ_15","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Ayala, F.","Ayala 1821","Croat, T.B.","","AMAZ2024",1,"Anthurium atropurpureum",-3.877891,-73.347934,"1979-04-28","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","F. Ayala","Ayala 1821","Croat, T.B."
"16","AMAZ_16","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Gentry, A.","Gentry 22335","Croat, T.B.","H","AMAZ2024",1,"Anthurium atropurpureum",NA,NA,"1978-05-27","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Set (0,0) to NA (Null Island placeholder). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","A. Gentry","Gentry 22335","Croat, T.B."
"17","AMAZ_17","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Gentry, A.","Gentry 31671","Croat, T.B.","H","AMAZ2024",1,"Anthurium atropurpureum",-3.83333333333333,-73.5,"1981-02-24","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","A. Gentry","Gentry 31671","Croat, T.B."
"18","AMAZ_18","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Vasquez, R.","Vasquez 1197","Croat, T.B.","","AMAZ2024",1,"Anthurium atropurpureum",-3.75,-73.35,"1981-01-08","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","accents and special characters corrected in recordNumber / standardized author names and accents corrected in recordedBy","R. Vásquez","Vásquez 1197","Croat, T.B."
"19","AMAZ_19","PreservedSpecimen","Collection",NA,"AMAZ","VARIETY","Angiosperms","Vasquez, R.","Vasquez 1198","Croat, T.B.","","AMAZ2024",1,"Anthurium atropurpureum",-3.75,-73.35,"1981-01-08","change1: Corrected taxonRank (SPECIES→VARIETY); kept scientificName with 'var.'. | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","accents and special characters corrected in recordNumber / standardized author names and accents corrected in recordedBy","R. Vásquez","Vásquez 1198","Croat, T.B."
