"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimrecordedBy","verbatimidentifiedBy"
"1","BA2025_001","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Rojas, T.","BA 22963",NA,"E","BA2025",1,"Acanthostachys strobilacea",NA,NA,"1938-06-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","","Rojas, T.","-"
"2","BA2025_002","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Barreto, M.","BA 31372","Barreto, M.","E","BA2025",1,"Acanthostachys strobilacea",NA,NA,"1936-05-24","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","Mello Barreto","Mello Barreto"
"3","BA2025_003","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","van de Venne. | Wolffhuegel.","BA1069","Hicken, C.M.","E","BA2025",1,"Acanthostachys strobilacea",NA,NA,"2558-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","Van de Venne & Wolffhuegel","Hicken, C.M."
"4","BA2025_004","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Perrone, V.R.","BA 54141","Castellanos, A.","E","BA2025",1,"Aechmea recurvata var. recurvata",-25.937071,-54.256221,"1949-10-25","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","Perrone, Vicente R.","Castellanos, A."
"5","BA2025_005","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Perez-Moreau, R.","BA 21079","Castellanos, A.","E","BA2025",1,"Aechmea calyculata",NA,NA,"1937-07-26","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","Pérez Moreau","Castellanos, A."
"6","BA2025_006","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Perez-Moreau, R.","BA21079","Castellanos, A.","E","BA2025",1,"Aechmea calyculata",NA,NA,"1937-07-26","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names and accents corrected in recordedBy","Pérez Moreau","Castellanos, A."
"7","BA2025_007","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Schreiter","BA 29841",NA,"E","BA2025",2,"Aechmea distichantha",NA,NA,"6607-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","","Schreiter","-"
"8","BA2025_008","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Venturi, S.","BA 1082",NA,"E","BA2025",2,"Aechmea distichantha",NA,NA,"7580-01-01","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","","Venturi, S.","-"
"9","BA2025_009","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Venturi, S.","BA 28/706",NA,"E","BA2025",2,"Aechmea distichantha",NA,NA,"1927-12-10","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","","Venturi, S.","-"
"10","BA2025_010","PreservedSpecimen","Evento",NA,"BA","SPECIES","Herbario","Venturi, S.","BA 28/705","Castellanos, A.","E","BA2025",2,"Aechmea distichantha",NA,NA,"1927-12-10","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","","Venturi, S.","Castellanos, A."
