"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimrecordedBy","verbatimidentifiedBy","verbatimtaxonRank","verbatimlifeForm"
"1","BAR2025_001","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"McIntosh, A.E.S.","1906","Howard, R.A.","Climber","BAR2025",0,"",13.196627,-59.495377,"","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","A. E. McIntosh","R. A. Howard","SPECIES","climber"
"2","BAR2025_002","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC1198","Howard, R.A.","Climber","BAR2025",0,"",13.1335,-59.63142,"1987-11-12","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. Sean Carrington","R. A. Howard","SPECIES","climber"
"3","BAR2025_003","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC2016","Nicholson, D.H.","Herb","BAR2025",1,"Anthurium cordatum",15.569245,-61.453462,"2007-05-06","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. S. Carrington","D. H. Nicholson","SPECIES","herb"
"4","BAR2025_004","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC1989","Nicholson, D.H.","Herb","BAR2025",1,"Anthurium dominicense",15.504305,-61.406038,"2007-05-05","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. S. Carrington","D. H. Nicholson","SPECIES","herb"
"5","BAR2025_005","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC1961","Nicholson, D.H.","Climber","BAR2025",1,"Anthurium hookeri",15.504305,-61.406038,"2007-05-05","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. S. Carrington","D. H. Nicholson","SPECIES","climber"
"6","BAR2025_006","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC1969","Nicholson, D.H.","Climber","BAR2025",1,"Anthurium hookeri",15.504305,-61.406038,"2007-05-05","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. S. Carrington","D. H. Nicholson","SPECIES","climber"
"7","BAR2025_007","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC2390","Carrington, C.M.S.","Climber","BAR2025",1,"Monstera adansonii",17.32623,-62.745875,"2014-07-27","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","S. Carrington","S. Carrington","SPECIES","climber"
"8","BAR2025_008","PreservedSpecimen",NA,NA,"BAR","SUBSPECIES",NA,"Carrington, C.M.S.","SC918","Howard, R.A.","Climber","BAR2025",1,"Philodendron hederaceum",13.22604,-59.58043,"1988-10-18","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardize taxonRank column to uppercase / standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. Sean Carrington","R. A. Howard","subspecies","climber"
"9","BAR2025_009","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC1814","Carrington, C.M.S.","Climber","BAR2025",1,"Philodendron lingulatum",13.179513,-59.574367,"2004-06-15","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. Sean Carrington","C. M. S. Carrington","SPECIES","climber"
"10","BAR2025_010","PreservedSpecimen",NA,NA,"BAR","SPECIES",NA,"Carrington, C.M.S.","SC2534","Carrington, C.M.S.","Herb","BAR2025",1,"Catopsis floribunda",17.47528,-62.96498,"2017-01-04","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14]","standardized first word capitalization in lifeForm / standardized author names and accents corrected in recordedBy / standardized author names and accents corrected in identifiedBy","C. M. S. Carrington","C. M. S. Carrington","SPECIES","herb"
