"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimcollectionCode","verbatimidentifiedBy","verbatimrecordedBy"
"1","UNICAUCA:CCANP:2016:23747","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Bernardo-Ramirez, R.","23747.0","Ramirez, B.R.","","CAUP2023",0,"",1.2146286,-77.2782516,"2015-01-04","change1: Trimmed whitespace in stateProvince (and standardized blanks to NA) | change2: Trimmed whitespace in recordedBy (and standardized blanks to NA) | change3: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","Bernardo R. Ramírez"
"2","UNICAUCA:CCANP:2016:2:002","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","2.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"3","UNICAUCA:CCANP:2016:3:003","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","3.0","Ramirez, B.R.","E","CAUP2023",1,"Pleurothallis microcardia",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Trimmed whitespace in occurrenceRemarks (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"4","UNICAUCA:CCANP:2016:4:004","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","4.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"5","UNICAUCA:CCANP:2016:5:005","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","5.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"6","UNICAUCA:CCANP:2016:7:006","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","7.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"7","UNICAUCA:CCANP:2016:8:007","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","8.0","Ramirez, B.R.","","CAUP2023",3,"Solanum americanum",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"8","UNICAUCA:CCANP:2016:10:008","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Fernando-A, V. A.","10.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. Fernando A. A."
"9","UNICAUCA:CCANP:2016:11:009","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Arcos-A, V.F.","11.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Trimmed whitespace in occurrenceRemarks (and standardized blanks to NA) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. F. Arcos A."
"10","UNICAUCA:CCANP:2016:12:0010","PreservedSpecimen",NA,NA,"Universidad del Cauca","SPECIES","Herbario de la Universidad del Cauca (CAUP)","Arcos-A, V.F.","12.0","Ramirez, B.R.","","CAUP2023",0,"",2.1,-77.2,"2015-02-21","change1: Trimmed whitespace in identifiedBy (and standardized blanks to NA) | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Filled lifeForm from occurrenceRemarks when epiphyte or hemiepiphyte was stated [2026-04-14]","standardized names in collectionCode / standardized author names in recordedBy / standardized author names in identifiedBy","Herbario de la Universidad del Cauca ( CAUP )","Bernardo R. Ramírez","V. F. Arcos A."
