"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","habitat","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimtaxonRank","verbatimlifeForm","verbatimrecordedBy"
"1","CPUN2025_0001","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8518",NA,"Herb",NA,"CPUN2025",1,"Anthurium atropurpureum",-6.033333333,-77.05,"1996-11-05","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","Herb","I. Sánchez Vega M.O. Dillon"
"2","CPUN2025_0002","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8129",NA,"Herb",NA,"CPUN2025",1,"Anthurium breviscapum",NA,NA,"1995-07-19","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","Herb","I. Sánchez vega M.O. Dillon"
"3","CPUN2025_0003","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8119",NA,"E",NA,"CPUN2025",1,"Anthurium breviscapum",NA,NA,"1995-07-18","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","I. Sánchez Vega M.O. Dillon"
"4","CPUN2025_0004","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Portal-V, L. | Perez-P, B.","126",NA,"",NA,"CPUN2025",1,"Anthurium breviscapum",754786,-9307260,"2005-10-15","change1: Corrected longitude sign for Western Hemisphere (made negative). | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","","L. Portal V. B. Pérez P."
"5","CPUN2025_0005","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8572",NA,"",NA,"CPUN2025",1,"Anthurium clavigerum",-5.7,-77.4,"1996-11-09","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","","I. Sánchez Vega M.O. Dillon"
"6","CPUN2025_0006","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Iberico-Vela, G. | Dieguez, R.","9817",NA,"E",NA,"CPUN2025",1,"Anthurium clavigerum",-6,-77.3,"1999-06-21","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","I. Sánchez Vega G. Iberico Vela R. Diéguez"
"7","CPUN2025_0007","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8059",NA,"E",NA,"CPUN2025",1,"Anthurium clavigerum",NA,NA,"1995-07-15","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","I. Sánchez Vega M.O. Dillon"
"8","CPUN2025_0008","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Cabanillas-Soriano, J.M.","269",NA,"E",NA,"CPUN2025",1,"Anthurium coripatense",NA,NA,"1986-07-22","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","J. Cabanillas S."
"9","CPUN2025_0009","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, I.M. | Dillon, M.O.","8415",NA,"E",NA,"CPUN2025",1,"Anthurium coripatense",-5.9,-77.35,"1996-11-01","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","I. Sánchez Vega M.O. Dillon"
"10","CPUN2025_0010","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Dillon, M.O. | Sanchez-Vega, I.M. | Sanchez-Montoya, M.","6329",NA,"Herb",NA,"CPUN2025",1,"Anthurium coripatense",-6.490277778,-78.62361111,"1993-04-17","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","Herb","M.O. Dillon I. Sánchez V. M. Sánchez M."
"11","CPUN2025_0011","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Dillon, M.O. | Sanchez-Vega, I.M. | Sanchez-Montoya, M.","6434",NA,"Herb",NA,"CPUN2025",1,"Anthurium coripatense",-6.406388889,-79.02194444,"1993-04-20","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","Herb","M.O. Dillon I. Sánchez V. M. Sánchez M."
"12","CPUN2025_0012","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Dillon, M.O. | Sanchez-Vega, I.M. | Guevara-Barreto, J.","6151",NA,"E",NA,"CPUN2025",1,"Anthurium coripatense",-6.2,-78.76666667,"1990-11-04","change1: Parsed DMS/DDM latitude → decimal degrees. | change2: Parsed DMS/DDM longitude → decimal degrees. | change3: Corrected longitude sign for Western Hemisphere (made negative). | change4: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | change5: Corrected latitude sign for Southern Hemisphere (validated by country polygon). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","E","M.O. Dillon I. Sánchez V. J. Guevara B."
"13","CPUN2025_0013","PreservedSpecimen","",NA,"CPUN","SPECIES",NA,"Sanchez-Vega, J.G. | Ruiz-Vigo, W. | Cabanillas-Soriano, J.M. | Lopez, A.","2192",NA,"Herb",NA,"CPUN2025",1,"Anthurium coripatense",NA,NA,"1978-08-04","epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-04-14] | Corrected elevation values >5000 m by dividing by 10 (assumed digit inflation error) [2026-04-14]","standardize taxonRank column to uppercase / standardized author names in recordedBy","species","Herb","J. Sánchez Vega W. Ruiz Vigo J. Cabanillas S. A. López"
