"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimassociatedReferences"
"1","assis_i_2026_diagonal_00001","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Epidendrum denticulatum",-22.513173,-47.773567,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"2","assis_i_2026_diagonal_00002","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Ionopsis utricularioides",-22.513173,-47.773567,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"3","assis_i_2026_diagonal_00003","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Laelia gloriosa",-22.513173,-47.773567,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"4","assis_i_2026_diagonal_00004","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Rodriguezia decora",-22.513173,-47.773567,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"5","assis_i_2026_diagonal_00005","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Trichocentrum pumilum",-22.513173,-47.773567,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"6","assis_i_2026_diagonal_00006","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Bulbophyllum chloroglossum",-22.551673,-47.910372,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"7","assis_i_2026_diagonal_00007","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Catasetum fimbriatum",-22.551673,-47.910372,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"8","assis_i_2026_diagonal_00008","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Cattleya cernua",-22.551673,-47.910372,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"9","assis_i_2026_diagonal_00009","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Epidendrum denticulatum",-22.551673,-47.910372,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
"10","assis_i_2026_diagonal_00010","MaterialCitation",NA,"Orchidaceae na regiao central de Sao Paulo, Brasil",NA,"SPECIES",NA,NA,NA,NA,"E","assis_i_2026_diagonal",1,"Epidendrum denticulatum",-22.551673,-47.910372,NA,"change1: Set datasetID='assis_i_2026_diagonal'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28]","accents and specific symbols removed in associatedReferences","Orchidaceae na região central de São Paulo, Brasil"
