"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","habitat","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatiminstitutionCode"
"1","assis_i_2026_literature_00001","MaterialCitation",NA,NA,"INPA","SPECIES",NA,NA,NA,NA,"E","Amazon Rainforest","assis_i_2026_literature",1,"Aganisia fimbriata",-4.855,-65.33361111,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","National Institute for Amazon Research (INPA), Manaus, Brazil"
"2","assis_i_2026_literature_00002","MaterialCitation",NA,NA,"IAP","SPECIES",NA,NA,NA,NA,"E","Pampa","assis_i_2026_literature",0,"",-30.37297222,-50.35227778,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName (no backbone accepted overwrite). | change4: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Instituto Anchietano de Pesquisas, São Leopoldo"
"3","assis_i_2026_literature_00003","MaterialCitation",NA,NA,"UTFPR","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera aphthosa",-25.45777778,-53.81694444,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Tecnológica Federal do Paraná - UTFPR, Paraná state, Brazil"
"4","assis_i_2026_literature_00004","MaterialCitation",NA,NA,"UTFPR","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera aphthosa",-25.60361111,-53.07861111,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Tecnológica Federal do Paraná - UTFPR, Paraná state, Brazil"
"5","assis_i_2026_literature_00005","MaterialCitation",NA,NA,"UNIOESTE","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera aphthosa",-25.46027778,-53.81777778,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Estadual do Oeste do Paraná"
"6","assis_i_2026_literature_00006","MaterialCitation",NA,NA,"UENF","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera auriculata",-20.93887222,-41.54438056,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Estadual do Norte Fluminense Darcy Ribeiro, Rio de Janeiro state, Brazil"
"7","assis_i_2026_literature_00007","MaterialCitation",NA,NA,"JBRJ","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera auriculata",-20.28111111,-40.50166667,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro"
"8","assis_i_2026_literature_00008","MaterialCitation",NA,NA,"UNESP","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera binotii",-20.41805556,-41.00694444,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","UNESP - São Paulo State University, Rio Claro, São Paulo state, Brazil"
"9","assis_i_2026_literature_00009","MaterialCitation",NA,NA,"UENF","SPECIES",NA,NA,NA,NA,"E","Atlantic Forest","assis_i_2026_literature",1,"Acianthera bragae",-20.93887222,-41.54438056,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Estadual do Norte Fluminense Darcy Ribeiro, Rio de Janeiro state, Brazil"
"10","assis_i_2026_literature_00010","MaterialCitation",NA,NA,"UFRJ","SPECIES",NA,NA,NA,NA,"E","Amazon Rainforest","assis_i_2026_literature",1,"Acianthera ciliata",NA,NA,NA,"change1: Set datasetID='assis_i_2026_literature'. | change2: Generated deterministic occurrenceID. | change3: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change4: Overwrote genus from accepted backbone name (match 1). | change5: Standardized taxonRank from scientificName using AssisI rules. | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'MaterialCitation' [2026-03-28]","institution names converted to acronyms in institutionCode","Universidade Federal do Rio de Janeiro, RJ, Brazil"
