"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimrecordedBy","verbatimidentifiedBy"
"1","assis_i_2026_specieslink_00001","PreservedSpecimen","",NA,"UFVJM","SPECIES","DIAM","Costa, F.N. | Graca, C.B. | Paiva, G.R. | Almeida, R.B.P. | Iannarelli, C. | Caceres, S.Y.","2415","Costa, F.N.","H","assis_i_2026_specieslink",1,"Clusia nemorosa",-18.398056,-43.345,"2025-06-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","F.N. Costa, C.B. Gra�a, G.R. Paiva, R.B.P. Almeida, C. Iannarelli, S.Y. C�ceres","F.N. Costa"
"2","assis_i_2026_specieslink_00002","PreservedSpecimen","",NA,"UEMA","SPECIES","SLUI","Martins, A.B.P.","4","Ferreira, A.W.C. | Martins, A.B.P.","E","assis_i_2026_specieslink",1,"Polystachya concreta",-2.5825,-44.216389,"2025-04-11","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","A.B.P.Martins","Ferreira, A.W.C.; A.B.P.Martins"
"3","assis_i_2026_specieslink_00003","PreservedSpecimen","",NA,"UEMA","SPECIES","SLUI","Martins, A.B.P.","2","Ferreira, A.W.C. | Martins, A.B.P.","E","assis_i_2026_specieslink",1,"Catasetum macrocarpum",-2.575556,-44.21,"2025-02-24","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","A.B.P.Martins","Ferreira, A.W.C.; A.B.P.Martins"
"4","assis_i_2026_specieslink_00004","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Ribeiro, J.E.L.S. | de Oliveira, H.C.","3103","Ribeiro, J.E.L.S.","H","assis_i_2026_specieslink",1,"Ficus luschnathiana",-23.363144,-51.174775,"2025-02-18","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Ribeiro, JELS; Oliveira, Halley C de","Ribeiro, JELS"
"5","assis_i_2026_specieslink_00005","PreservedSpecimen","",NA,"UEMA","SPECIES","SLUI","Martins, A.B.P.","1","Ferreira, A.W.C. | Martins, A.B.P.","E","assis_i_2026_specieslink",1,"Catasetum macrocarpum",-2.575556,-44.21,"2025-02-10","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","A.B.P.Martins","Ferreira, A.W.C.; A.B.P.Martins"
"6","assis_i_2026_specieslink_00006","PreservedSpecimen","",NA,"UNESP-IBILCE","SPECIES","SJRP","Souza, V.C. | Prado, J. | Sampaio, D. | Honorio, A.","44795","Souza, V.C.","E","assis_i_2026_specieslink",1,"Epiphyllum phyllanthus",-22.279139,-51.800806,"2024-10-16","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in recordedBy","Souza, V.C.; Prado, J.; Sampaio, D.; Hon�rio, A.","Souza, V.C."
"7","assis_i_2026_specieslink_00007","PreservedSpecimen","",NA,"UEMA","SPECIES","SLUI","Pedrosa, L.I.F.","285","Marinho, L.C.","H","assis_i_2026_specieslink",1,"Clusia grandiflora",-1.479722,-46.128333,"2024-03-06","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","L.I.F.Pedrosa","L.C.Marinho"
"8","assis_i_2026_specieslink_00008","PreservedSpecimen","",NA,"UFVJM","SPECIES","DIAM","Graca, C.B. | Saraiva, J.R.","5","Graca, C.B.","E","assis_i_2026_specieslink",1,"Utricularia amethystina",-18.216517,-43.608206,"2024-02-08","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","C.B. Gra�a, J.R. Saraiva","C.B. Gra�a"
"9","assis_i_2026_specieslink_00009","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Ribeiro, J.E.L.S. | Del Grande, L.V. | Rossetto, E.F.S.","3026","Rossetto, E.F.S.","E","assis_i_2026_specieslink",1,"Peperomia tetraphylla",-23.405278,-51.325278,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Ribeiro, JELS; Del Grande, LV; Rossetto, EFS","Rossetto, EFS"
"10","assis_i_2026_specieslink_00010","PreservedSpecimen","",NA,"UEL","SPECIES","FUEL","Ribeiro, J.E.L.S. | Del Grande, L.V. | Rossetto, E.F.S.","3035","Rossetto, E.F.S.","E","assis_i_2026_specieslink",1,"Peperomia urocarpa",-23.405278,-51.325278,"2024-02-01","change1: Set datasetID='assis_i_2026_specieslink'. | change2: Generated deterministic occurrenceID. | change3: Created verbatimScientificName (priority: scientificName_bf > scientificName_wfo > SPECIES) | change4: Created scientificName from verbatimScientificName using backbone accepted name (match 1). | change5: Overwrote genus from accepted backbone name (match 1). | Filled missing family/order/phylum from taxonomy lookups [2026-03-28] | Filled missing scientificNameAuthorship from EpIG backbone [2026-03-28] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-28] | lifeForm assigned (E prioritized over H; derived from bf/zotz and habitat fallback) [2026-03-28] | Filled missing basisOfRecord with 'PreservedSpecimen' [2026-03-28]","standardize author names in identifiedBy / standardize author names in recordedBy","Ribeiro, JELS; Del Grande, LV; Rossetto, EFS","Rossetto, EFS"
