"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimidentifiedBy"
"1","PECS2025_0001","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"2","PECS2025_0002","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Elaphoglossum metallicum",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"3","PECS2025_0003","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"4","PECS2025_0004","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Grammitis subsessilis",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"5","PECS2025_0005","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"6","PECS2025_0006","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Elaphoglossum metallicum",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"7","PECS2025_0007","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"8","PECS2025_0008","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"9","PECS2025_0009","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"10","PECS2025_0010","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Grammitis personata",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"11","PECS2025_0011","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"12","PECS2025_0012","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",3,"Demosthenesia mandonii",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"13","PECS2025_0013","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Grammitis personata",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"14","PECS2025_0014","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Grammitis moniliformis",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"15","PECS2025_0015","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"16","PECS2025_0016","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",3,"Eria coronaria",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"17","PECS2025_0017","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"18","PECS2025_0018","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",1,"Grammitis moniliformis",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: Normalized genus (removed indet; enforced capitalization) | change2: Normalized genus (removed indet; enforced capitalization) | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"19","PECS2025_0019","LivingSpecimen",NA,NA,NA,"GENUS",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PECS",NA,"",-13.0962133733223,-71.6296463033316,"2025-04-15","change1: SPECIES rank but no valid binomial; kept scientificName=NA | change2: Normalized genus (removed indet; enforced capitalization) | change3: Degraded SPECIESâ†’GENUS (no valid binomial but genus present) | change4: Normalized genus (removed indet; enforced capitalization) | change5: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
