"","occurrenceID","basisOfRecord","typeStatus","associatedReferences","institutionCode","taxonRank","collectionCode","recordedBy","recordNumber","identifiedBy","lifeForm","datasetID","matchCodeEpig","matchedNameEpig","decimalLatitude","decimalLongitude","eventDate","changes","discardReason","verbatimidentifiedBy"
"1","PETE2025_001","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096582,-71.630253,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"2","PETE2025_002","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096582,-71.630253,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"3","PETE2025_003","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096582,-71.630253,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"4","PETE2025_004","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096582,-71.630253,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"5","PETE2025_005","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096582,-71.630253,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"6","PETE2025_006","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096639,-71.630328,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"7","PETE2025_007","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096639,-71.630328,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"8","PETE2025_008","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096639,-71.630328,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"9","PETE2025_009","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096639,-71.630328,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"10","PETE2025_010","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.096639,-71.630328,"2025-04-16","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"11","PETE2025_011","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966799502664,-71.630343733381,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"12","PETE2025_012","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966799502664,-71.630343733381,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"13","PETE2025_013","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966799502664,-71.630343733381,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"14","PETE2025_014","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966799502664,-71.630343733381,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"15","PETE2025_015","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966799502664,-71.630343733381,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
"16","PETE2025_016","LivingSpecimen",NA,NA,NA,"SPECIES",NA,NA,NA,"Clemente-Arenas, E.R. | Quispe, E.","E","bertelmann_h_2025_PETE",1,"Campyloneurum densifolium",-13.0966279770461,-71.6304681515916,"2025-04-17","change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]","standardized author names in identifiedBy","Edith Rosario Clemente Arenas, Edison Quispe"
