occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
BA2025_001,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Rojas, T.",BA 22963,-,E,BA2025,1,Acanthostachys strobilacea,,,1938-06-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_002,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Mello Barreto,BA 31372,Mello Barreto,E,BA2025,1,Acanthostachys strobilacea,,,1936-05-24,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_003,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Van de Venne & Wolffhuegel,BA1069,"Hicken, C.M.",E,BA2025,1,Acanthostachys strobilacea,,,2558-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_004,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Perrone, Vicente R.",BA 54141,"Castellanos, A.",E,BA2025,1,Aechmea recurvata var. recurvata,-25.937071,-54.256221,1949-10-25,"change1: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_005,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Pérez Moreau,BA 21079,"Castellanos, A.",E,BA2025,1,Aechmea calyculata,,,1937-07-26,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_006,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Pérez Moreau,BA21079,"Castellanos, A.",E,BA2025,1,Aechmea calyculata,,,1937-07-26,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_007,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,Schreiter,BA 29841,-,E,BA2025,2,Aechmea distichantha,,,6607-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_008,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA 1082,-,E,BA2025,2,Aechmea distichantha,,,7580-01-01,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_009,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA 28/706,-,E,BA2025,2,Aechmea distichantha,,,1927-12-10,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
BA2025_010,PreservedSpecimen,Evento,,BA,SPECIES,Herbario,"Venturi, S.",BA 28/705,"Castellanos, A.",E,BA2025,2,Aechmea distichantha,,,1927-12-10,"epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-12] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
