occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,habitat,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
PRG2025_0001,PreservedSpecimen,,,PRG,GENUS,,L. Vásquez N. J. Laos S. G. Delgado P. E. Sanchez,,,E,epifita sobre arbol,PRG2025,,,,,1979-10-23,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0002,PreservedSpecimen,,,PRG,SPECIES,,A. Díaz C. L. Vásquez N. J. Laos S. G. Delgado P.,,,,,PRG2025,1,Anthurium truncicola,,,1979-10-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0003,PreservedSpecimen,,,PRG,SPECIES,,A. Díaz C. J. Laos S.,,,,,PRG2025,1,Anthurium amoenum,,,1979-10-29,"change1: Trimmed whitespace in scientificName (and standardized blanks to NA) | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0004,PreservedSpecimen,,,PRG,SPECIES,,,,,,,PRG2025,1,Anthurium truncicola,,,1979-10-29,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0005,PreservedSpecimen,,,PRG,GENUS,,A. Díaz C. L. Vásquez N. J. Laos S. G. Delgado P.,,,E,epifita,PRG2025,,,,,1979-10-29,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0006,PreservedSpecimen,,,PRG,GENUS,,L. Vásquez N. J. Laos S. C. Estela C. S. Llatas Q.,,,,,PRG2025,,,,,1985-02-24,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0007,PreservedSpecimen,,,PRG,GENUS,,L. Vásquez N. J. Laos S.,,,,,PRG2025,,,,,1958-10-03,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0008,PreservedSpecimen,,,PRG,GENUS,,C. Estela C. J. Sotero S.,,,,Zonas humedas y junto a monte perenne,PRG2025,,,,,1992-06-20,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0009,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N.,,,E,epifia y tambien sobre el suelo,PRG2025,1,Anthurium ernesti,,,1996-09-12,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0010,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N. J. Escurra P. Escobedo G.,,,,suelos pedregosos,PRG2025,1,Anthurium dombeyanum,,,1999-02-12,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0011,PreservedSpecimen,,,PRG,GENUS,,L. Vásquez N. J. Escurra P. De la Cruz S.,,,,,PRG2025,,,,,1999-09-10,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0012,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N. J. Escurra P. Ayasta V.,,,,,PRG2025,1,Anthurium pohlianum,,,2000-12-16,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0013,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N. J. Escurra P. Ayasta V.,,,E,epifita,PRG2025,1,Anthurium pohlianum,,,2001-01-06,"change1: Set taxonRank=SPECIES from binomial scientificName. | change2: Trimmed whitespace in verbatimScientificName (and standardized blanks to NA) | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0014,PreservedSpecimen,,,PRG,GENUS,,L. Vásquez,,,,,PRG2025,,,,,2008-02-10,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0015,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N. J. Escurra P.  B. Esquerre A. Díaz C. L.Ocupa Y. Murillo,,,,bosque,PRG2025,1,Anthurium coripatense,,,2014-06-07,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0016,PreservedSpecimen,,,PRG,GENUS,,A. Díaz C. L. Vásquez N. J. Laos S.,,,,,PRG2025,,,,,2014-06-28,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0017,PreservedSpecimen,,,PRG,GENUS,,J. Ayasta V. A. Juárez CH.,,,,Vegetación de bosque montano bajo,PRG2025,,,,,2019-12-01,"change1: Set taxonRank=GENUS from genus-only scientificName. | change2: Cleared scientificName for supra-specific rank (GENUS/SUBGENUS/SECTION/FAMILY/…). | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0018,PreservedSpecimen,,,PRG,SPECIES,,,,,,,PRG2025,0,,,,1978-08-31,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0019,PreservedSpecimen,,,PRG,SPECIES,,L. Vásquez N. E. Sanchez S. Llatas Q.,,,E,Falda de cerro,PRG2025,1,Tillandsia sprengeliana,,,1983-02-26,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0020,PreservedSpecimen,,,PRG,SPECIES,,A. Díaz C. S. Llatas Q.,,,E,Epifita,PRG2025,1,Tillandsia sprengeliana,,,1987-12-12,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0021,PreservedSpecimen,,,PRG,SPECIES,,B. Bravo S. Carmona G. Gónzales,,,,,PRG2025,1,Tillandsia sprengeliana,,,2016-10-15,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
PRG2025_0022,PreservedSpecimen,,,PRG,SPECIES,,,,,E,"Epífitas, nepículas o terrestres.",PRG2025,1,Tillandsia sprengeliana,,,2004-09-16,"change1: Set taxonRank=SPECIES from binomial scientificName. | epi_taxo: acceptedName(match1); authorship_epig(match1); genus_from_scientificName; family_WFO; order_majorGroup_WCVP [2026-03-11] | CoordinateCleaner QA applied without sea test (validity, equal, zeros, capitals, centroids, gbif, institutions) [2026-03-29]"
