occurrenceID,basisOfRecord,typeStatus,associatedReferences,institutionCode,taxonRank,collectionCode,recordedBy,recordNumber,identifiedBy,lifeForm,datasetID,matchCodeEpig,matchedNameEpig,decimalLatitude,decimalLongitude,eventDate,changes
kroemer_t_2024_00001,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Pleopeltis pyrrholepis,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00002,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,2,Peperomia angularis,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00003,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Platystele stenostachya,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00004,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Masdevallia floribunda,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00005,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Stelis ciliaris,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00006,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Tillandsia leiboldiana,19.25,-96.8833333333333,26/05/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00007,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Vittaria graminifolia,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00008,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Pleurothallis bivalvis,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00009,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Platystele compacta,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00010,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Trichopilia tortilis,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00011,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Maxillaria variabilis,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Hybrid detected: removed ×/x and reduced to binomial when possible | change3: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00012,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Epidendrum nocturnum,18.3666666666667,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00013,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Catopsis nitida,18.3666666666667,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00014,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Tillandsia filifolia,18.3666666666667,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00015,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Catopsis sessiliflora,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00016,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Werauhia noctiflorens,18.35,-94.8333333333333,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00017,herbarium specimen,,,,SPECIES,,,,,nomadic vine,kroemer_t_2024,1,Anthurium pentaphyllum,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00018,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Peperomia pseudoalpina,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00019,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Peperomia quadrifolia,18.35,-94.8166666666667,29/07/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00020,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Vittaria graminifolia,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00021,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Scoliosorus ensiformis,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00022,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Grammitis linearifolia,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00023,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Pecluma longepinnulata,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00024,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Asplenium auriculatum,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00025,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Huperzia pithyoides,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00026,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Werauhia noctiflorens,18.5666666666667,-95.1666666666667,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00027,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Werauhia nocturna,18.5666666666667,-95.1666666666667,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00028,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Werauhia nutans,18.5666666666667,-95.1666666666667,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00029,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Anthurium scandens,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
kroemer_t_2024_00030,herbarium specimen,,,,SPECIES,,,,,holoepiphyte,kroemer_t_2024,1,Prosthechea baculus,18.55,-95.1833333333333,26/08/2008,change1: Filled verbatimScientificName once from original scientificName | change2: Filled coordinateUncertaintyInMeters from decimal-place precision (conservative).
